"Continue Shopping","Fortsæt med at Handle"
Checkout,Gå Til Kassen
Added,Tilføjet
"Add to Cart","Tilføj Til Kurv"
"Are you sure you would like to remove this item from the shopping cart?","Er du sikker på du ønsker at fjerne denne vare fra din kurv?"
Ajaxpro,Ajaxpro
Main,Hoved
"Show popup after product was added","Vis popup efter vare er tilføjet"
"Add to cart dialog window type","Vindues dialog type ved tilføjelse til kurv"
"Override Minicart Sidebar","Overskriv Minikurv i Sidebar"
"The type of cart dialog window","Kurv dialog vindues type"
"Show floating cart","Vis en flydende kurv"
"Show product popup for product with any options","Vis en produkt popup for konfigurerbare varer"
"Forced validation for ajax request in catalog","Forced validation for ajax request in catalog"
