"Continue Shopping","Mit dem Einkaufen fortfahren"
Checkout,Auschecken
Added,Hinzugefügt
"Add to Cart","in den Warenkorb legen"
"Are you sure you would like to remove this item from the shopping cart?","Möchten Sie diesen Artikel wirklich aus dem Warenkorb entfernen?"
Ajaxpro,Ajaxpro
Main,Main
"Show popup after product was added","Popup anzeigen, nachdem das Produkt hinzugefügt wurde"
"Add to cart dialog window type","Fenstertyp zum Warenkorb hinzufügen"
"Override Minicart Sidebar","Überschreiben Sie die Minicart-Seitenleiste"
"The type of cart dialog window","Die Art des Warenkorbdialogfensters"
"Show floating cart","Schwimmwagen anzeigen"
"Show product popup for product with any options","Produkt-Popup für Produkt mit beliebigen Optionen anzeigen"
"Forced validation for ajax request in catalog","Erzwungene Validierung für Ajax-Anforderung im Katalog"
