"Continue Shopping","Continue Shopping"
Checkout,Checkout
Added,Added
"Add to Cart","Add to Cart"
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the shopping cart?"
Ajaxpro,Ajaxpro
Main,Main
"Show popup after product was added","Show popup after product was added"
"Add to cart dialog window type","Add to cart dialog window type"
"Override Minicart Sidebar","Override Minicart Sidebar"
"The type of cart dialog window","The type of cart dialog window"
"Show floating cart","Show floating cart"
"Show product popup for product with any options","Show product popup for product with any options"
"Forced validation for ajax request in catalog","Forced validation for ajax request in catalog"
