"Continue Shopping","Seguir comprando"
Checkout,Revisa
Added,Adicional
"Add to Cart","Añadir al carrito"
"Are you sure you would like to remove this item from the shopping cart?","¿Estás seguro de que deseas eliminar este artículo del carrito de compras?"
Ajaxpro,Ajaxpro
Main,Principal
"Show popup after product was added","Mostrar ventana emergente después de agregar el producto"
"Add to cart dialog window type","Añadir al carrito tipo de ventana de diálogo"
"Override Minicart Sidebar","Anular barra lateral de minicart"
"The type of cart dialog window","El tipo de ventana de diálogo del carrito"
"Show floating cart","Mostrar carro flotante"
"Show product popup for product with any options","Mostrar ventana emergente del producto con cualquier opción"
"Forced validation for ajax request in catalog","Validación forzada para solicitud ajax en catálogo"
