"Continue Shopping","Continua a fare acquisti"
Checkout,Check-out
Added,aggiunto
"Add to Cart","Aggiungi al carrello"
"Are you sure you would like to remove this item from the shopping cart?","Sei sicuro di voler rimuovere questo articolo dal carrello?"
Ajaxpro,Ajaxpro
Main,Principale
"Show popup after product was added","Mostra popup dopo l'aggiunta del prodotto"
"Add to cart dialog window type","Aggiungi al carrello tipo di finestra di dialogo"
"Override Minicart Sidebar","Ignora la barra laterale della Minicart"
"The type of cart dialog window","Il tipo di finestra di dialogo del carrello"
"Show floating cart","Mostra carrello mobile"
"Show product popup for product with any options","Mostra popup prodotto per prodotto con qualsiasi opzione"
"Forced validation for ajax request in catalog","Convalida forzata per la richiesta Ajax nel catalogo"
