"Continue Shopping","쇼핑을 계속"
Checkout,점검
Added,추가
"Add to Cart","장바구니에 담기"
"Are you sure you would like to remove this item from the shopping cart?","장바구니에서이 항목을 제거 하시겠습니까?"
Ajaxpro,"아약스 프로"
Main,본관
"Show popup after product was added","제품이 추가 된 후 팝업 표시"
"Add to cart dialog window type","장바구니에 추가 대화 상자 창 유형"
"Override Minicart Sidebar","미니 카트 사이드 바 재정의"
"The type of cart dialog window","카트 유형 대화 상자 창"
"Show floating cart","플로팅 카트 표시"
"Show product popup for product with any options","옵션이있는 제품의 제품 팝업 표시"
"Forced validation for ajax request in catalog","카탈로그에서 Ajax 요청에 대한 강제 유효성 검증"
