"Continue Shopping","Fortsette å handle"
Checkout,"Sjekk ut"
Added,"La til"
"Add to Cart","Legg i handlekurv"
"Are you sure you would like to remove this item from the shopping cart?","Er du sikker på at du vil fjerne denne varen fra handlekurven?"
Ajaxpro,Ajaxpro
Main,Hoved
"Show popup after product was added","Vis popup etter at produktet ble lagt til"
"Add to cart dialog window type","Legg til i handlevogn dialogvinduet type"
"Override Minicart Sidebar","Overstyr Minicart-sidefeltet"
"The type of cart dialog window","Typen dialogboks for handlevogn"
"Show floating cart","Vis flytende handlevogn"
"Show product popup for product with any options","Vis produkt popup for produkt med valgfrihet"
"Forced validation for ajax request in catalog","Tvangsvalidering for ajax-forespørsel i katalog"
