"Continue Shopping","Doorgaan met winkelen"
Checkout,Uitchecken
Added,Toegevoegd
"Add to Cart","Voeg toe aan winkelkar"
"Are you sure you would like to remove this item from the shopping cart?","Weet u zeker dat u dit artikel uit de winkelwagen wilt verwijderen?"
Ajaxpro,Ajaxpro
Main,Hoofd
"Show popup after product was added","Pop-up weergeven nadat het product is toegevoegd"
"Add to cart dialog window type","Type dialoogvenster toevoegen aan winkelwagentje"
"Override Minicart Sidebar","Negeer Minicart Sidebar"
"The type of cart dialog window","Het type winkelwagen dialoogvenster"
"Show floating cart","Zwevende wagen weergeven"
"Show product popup for product with any options","Toon productpop-up voor product met opties"
"Forced validation for ajax request in catalog","Geforceerde validatie voor ajax-aanvraag in catalogus"
"Quick View","Snelle kijk"
