"Continue Shopping","Continue comprando"
Checkout,"Verificação de saída"
Added,Adicionado
"Add to Cart","Adicionar ao carrinho"
"Are you sure you would like to remove this item from the shopping cart?","Tem certeza de que deseja remover este item do carrinho de compras?"
Ajaxpro,Ajaxpro
Main,"a Principal"
"Show popup after product was added","Mostrar pop-up após a adição do produto"
"Add to cart dialog window type","Tipo de janela de diálogo Adicionar ao carrinho"
"Override Minicart Sidebar","Substituir barra lateral da Minicart"
"The type of cart dialog window","A janela de diálogo tipo de carrinho"
"Show floating cart","Mostrar carrinho flutuante"
"Show product popup for product with any options","Mostrar pop-up de produto para qualquer opção"
"Forced validation for ajax request in catalog","Validação forçada para solicitação de ajax no catálogo"
