"Continue Shopping","Продовжити покупки"
Checkout,"Розмістити замовлення"
Added,Додано
"Add to Cart","Додати в кошик"
"Are you sure you would like to remove this item from the shopping cart?","Ви впевнені, що хочете видалити цей товар із кошика?"
Ajaxpro,Аякспро
Main,Головні
"Show popup after product was added","Показати спливаюче вікно після додавання продукту"
"Add to cart dialog window type","Додати в кошик тип діалогового вікна"
"Override Minicart Sidebar","Заміна бічної панелі коштик"
"The type of cart dialog window","Тип діалогового вікна кошика"
"Show floating cart","Показати плаваючий кошик"
"Show product popup for product with any options","Показати спливаюче вікно продукту з  параметрами"
"Forced validation for ajax request in catalog","Вимушена перевірка запиту ajax в каталозі"
