"Continue Shopping",继续购物
Checkout,查看
Added,添加
"Add to Cart",添加到购物车
"Are you sure you would like to remove this item from the shopping cart?",您确定要从购物车中删除该商品吗？
Ajaxpro,Ajaxpro
Main,主要
"Show popup after product was added",添加产品后显示弹出窗口
"Add to cart dialog window type",添加到购物车对话框窗口类型
"Override Minicart Sidebar",覆盖Minicart侧边栏
"The type of cart dialog window",购物车对话框窗口的类型
"Show floating cart",显示浮动购物车
"Show product popup for product with any options",显示带有任何选项的产品的产品弹出窗口
"Forced validation for ajax request in catalog",强制验证目录中的Ajax请求
