"Search results for","نتائج البحث عن"
Categories,التصنيفات
"Nothing found","وجدت شيئا"
"Cms pages","صفحات Cms"
Products,منتجات
Price,السعر
SKU,"رمز التخزين التعريفي"
Ajaxsearch,Ajaxsearch
Main,الأساسية
Limit,الحد
Highlight,"تسليط الضوء"
"Minimal Query Length","الحد الأدنى لطول الاستعلام"
"Product Suggestions","اقتراحات المنتج"
Enable,ممكن
"Category Suggestions","اقتراحات الفئة"
"Page Suggestions","اقتراحات الصفحة"
"Popular Search Terms Suggestions","اقتراحات مصطلحات البحث الشائعة"
"Show on Focus","إظهار التركيز"
"Show popular terms list when focusing empty search field","إظهار قائمة المصطلحات الشائعة عند التركيز على حقل البحث الفارغ"
"Form Layout","تخطيط النموذج"
"Default - Initially visible form","افتراضي - شكل مرئي مبدئيًا"
"Icon only - Fullscreen form","الرمز فقط - نموذج ملء الشاشة"
"Icon only - Minimalistic form","أيقونة فقط - شكل أضيق الحدود"
"Results Layout","تخطيط النتائج"
