"Search results for","Suchergebnisse für"
Categories,Kategorien
"Nothing found","Nichts gefunden"
"Cms pages",Cms-Seiten
Products,Produkte
Price,Preis
SKU,SKU
Ajaxsearch,Ajaxsearch
Main,Main
Limit,Grenze
Highlight,Markieren
"Minimal Query Length","Minimale Abfragelänge"
"Product Suggestions",Produktvorschläge
Enable,Aktivieren
"Category Suggestions","Kategorie Vorschläge"
"Page Suggestions",Seitenvorschläge
"Popular Search Terms Suggestions","Beliebte Suchbegriffe Vorschläge"
"Show on Focus","Show on Focus"
"Show popular terms list when focusing empty search field","Liste der gängigen Begriffe anzeigen, wenn Sie das leere Suchfeld fokussieren"
"Form Layout",Formularlayout
"Default - Initially visible form","Standard - Anfangs sichtbares Formular"
"Icon only - Fullscreen form","Nur Symbol - Vollbild"
"Icon only - Minimalistic form","Nur Symbol - Minimalistische Form"
"Results Layout",Ergebnislayout
