"Search results for","Search results for"
Categories,Categories
"Nothing found","Nothing found"
"Cms pages","Cms pages"
Products,Products
Price,Price
SKU,SKU
Ajaxsearch,Ajaxsearch
Main,Main
Limit,Limit
Highlight,Highlight
"Minimal Query Length","Minimal Query Length"
"Product Suggestions","Product Suggestions"
Enable,Enable
"Category Suggestions","Category Suggestions"
"Page Suggestions","Page Suggestions"
"Popular Search Terms Suggestions","Popular Search Terms Suggestions"
"Show on Focus","Show on Focus"
"Show popular terms list when focusing empty search field","Show popular terms list when focusing empty search field"
"Form Layout","Form Layout"
"Default - Initially visible form","Default - Initially visible form"
"Icon only - Fullscreen form","Icon only - Fullscreen form"
"Icon only - Minimalistic form","Icon only - Minimalistic form"
"Results Layout","Results Layout"
