"Search results for","Resultados de búsqueda para"
Categories,Categorias
"Nothing found","Nada Encontrado"
"Cms pages","Páginas de cms"
Products,Productos
Price,Precio
SKU,SKU
Ajaxsearch,Ajaxsearch
Main,Principal
Limit,Límite
Highlight,Realce
"Minimal Query Length","Longitud mínima de consulta"
"Product Suggestions","Sugerencias de productos"
Enable,Habilitar
"Category Suggestions","Sugerencias de categoría"
"Page Suggestions","Sugerencias de página"
"Popular Search Terms Suggestions","Sugerencias de términos de búsqueda populares"
"Show on Focus","Mostrar en foco"
"Show popular terms list when focusing empty search field","Mostrar la lista de términos populares al enfocar el campo de búsqueda vacío"
"Form Layout","Diseño de formulario"
"Default - Initially visible form","Predeterminado: forma inicialmente visible"
"Icon only - Fullscreen form","Solo icono: formulario de pantalla completa"
"Icon only - Minimalistic form","Solo icono: forma minimalista"
"Results Layout","Diseño de resultados"
