"Search results for","תוצאות חיפוש עבור"
Categories,קטגוריות
"Nothing found","שום דבר לא נמצא"
"Cms pages","דפי Cms"
Products,מוצרים
Price,מחיר
SKU,"מק""ט"
Ajaxsearch,Ajaxsearch
Main,עיקרי
Limit,הגבלה
Highlight,הדגש
"Minimal Query Length","אורך שאילתה מינימלי"
"Product Suggestions","הצעות למוצר"
Enable,אפשר
"Category Suggestions","הצעות לקטגוריה"
"Page Suggestions","הצעות לדף"
"Popular Search Terms Suggestions","הצעות פופולריות למונחי חיפוש"
"Show on Focus","הצג בפוקוס"
"Show popular terms list when focusing empty search field","הצג רשימת מונחים פופולריים כשאתה מתמקד בשדה חיפוש ריק"
"Form Layout","פריסת טופס"
"Default - Initially visible form","ברירת מחדל - טופס גלוי בתחילה"
"Icon only - Fullscreen form","אייקון בלבד - טופס מסך מלא"
"Icon only - Minimalistic form","אייקון בלבד - צורה מינימליסטית"
"Results Layout","פריסת תוצאות"
