"Search results for","cerca risultati per"
Categories,categorie
"Nothing found","Non abbiamo trovato nulla"
"Cms pages","Pagine Cms"
Products,Prodotti
Price,Prezzo
SKU,SKU
Ajaxsearch,Ajaxsearch
Main,Principale
Limit,Limite
Highlight,Evidenziare
"Minimal Query Length","Lunghezza minima della query"
"Product Suggestions","Suggerimenti sul prodotto"
Enable,Abilitare
"Category Suggestions","Suggerimenti di categoria"
"Page Suggestions","Suggerimenti sulla pagina"
"Popular Search Terms Suggestions","Suggerimenti di termini di ricerca popolari"
"Show on Focus","Mostra su Focus"
"Show popular terms list when focusing empty search field","Mostra l'elenco di termini popolari quando si concentra un campo di ricerca vuoto"
"Form Layout","Layout del modulo"
"Default - Initially visible form","Predefinito: modulo inizialmente visibile"
"Icon only - Fullscreen form","Solo icona: modulo a schermo intero"
"Icon only - Minimalistic form","Solo icona - Forma minimalista"
"Results Layout","Layout dei risultati"
