"Search results for","에 대한 검색 결과"
Categories,카테고리
"Nothing found","아무것도 찾을 수 없음"
"Cms pages","CMS 페이지"
Products,제품
Price,가격
SKU,SKU
Ajaxsearch,"아약스 서치"
Main,본관
Limit,한도
Highlight,"가장 밝은 부분"
"Minimal Query Length","최소 쿼리 길이"
"Product Suggestions","제품 제안"
Enable,사용
"Category Suggestions","카테고리 제안"
"Page Suggestions","페이지 제안"
"Popular Search Terms Suggestions","인기 검색어 제안"
"Show on Focus","초점에 표시"
"Show popular terms list when focusing empty search field","빈 검색 필드에 초점을 맞출 때 인기있는 용어 목록 표시"
"Form Layout","양식 레이아웃"
"Default - Initially visible form","기본-처음 보이는 양식"
"Icon only - Fullscreen form","아이콘 만-전체 화면 양식"
"Icon only - Minimalistic form","아이콘 만-최소한의 형태"
"Results Layout","결과 레이아웃"
