"Search results for","Søkeresultater for"
Categories,kategorier
"Nothing found","Ingenting funnet"
"Cms pages",Cms-sider
Products,Produkter
Price,Pris
SKU,SKU
Ajaxsearch,Ajaxsearch
Main,Hoved
Limit,Grense
Highlight,Fremheve
"Minimal Query Length","Minimal spørringslengde"
"Product Suggestions",Produktforslag
Enable,Muliggjøre
"Category Suggestions",Kategoriforslag
"Page Suggestions",Sideforslag
"Popular Search Terms Suggestions","Populære forslag"
"Show on Focus","Vis på fokus"
"Show popular terms list when focusing empty search field","Vis populære vilkårsliste når du fokuserer på tomt søkefelt"
"Form Layout",Skjemaoppsett
"Default - Initially visible form","Standard - Opprinnelig synlig skjema"
"Icon only - Fullscreen form","Bare ikon - fullskjermsform"
"Icon only - Minimalistic form","Bare ikon - Minimalistisk form"
"Results Layout",Resultatoppsett
