"Search results for","Resultados da busca por"
Categories,Categorias
"Nothing found","Nada encontrado"
"Cms pages","Páginas Cms"
Products,Produtos
Price,Preço
SKU,SKU
Ajaxsearch,Ajaxsearch
Main,"a Principal"
Limit,Limite
Highlight,Realçar
"Minimal Query Length","Comprimento mínimo da consulta"
"Product Suggestions","Sugestões de produtos"
Enable,Habilitar
"Category Suggestions","Sugestões de categoria"
"Page Suggestions","Sugestões de páginas"
"Popular Search Terms Suggestions","Sugestões populares de termos de pesquisa"
"Show on Focus","Mostrar em Foco"
"Show popular terms list when focusing empty search field","Mostrar lista de termos populares ao focar no campo de pesquisa vazio"
"Form Layout","Layout do formulário"
"Default - Initially visible form","Padrão - formulário inicialmente visível"
"Icon only - Fullscreen form","Apenas ícone - formulário em tela cheia"
"Icon only - Minimalistic form","Apenas ícone - forma minimalista"
"Results Layout","Layout de resultados"
