"Search results for","Результаты поиска для"
Categories,Категории
"Nothing found","Ничего не найдено"
"Cms pages","CMS страницы"
Products,Товары
Price,Цена
SKU,SKU
Ajaxsearch,Ajaxsearch
Main,Главный
Limit,Предел
Highlight,"Основной момент"
"Minimal Query Length","Минимальная длина запроса"
"Product Suggestions","Предложения продукта"
Enable,Включить
"Category Suggestions","Предложения категории"
"Page Suggestions","Предложения страницы"
"Popular Search Terms Suggestions","Популярные условия поиска Предложения"
"Show on Focus","Показать в фокусе"
"Show popular terms list when focusing empty search field","Показывать список популярных терминов при выделении пустого поля поиска"
"Form Layout","Макет формы"
"Default - Initially visible form","По умолчанию - изначально видимая форма"
"Icon only - Fullscreen form","Только значок - полноэкранная форма"
"Icon only - Minimalistic form","Только значок - минималистичная форма"
"Results Layout","Схема результатов"
