"Search results for",为。。。。寻找结果
Categories,分类目录
"Nothing found",没有发现
"Cms pages",Cms页面
Products,产品展示
Price,价钱
SKU,SKU
Ajaxsearch,Ajaxsearch
Main,主要
Limit,限制
Highlight,突出
"Minimal Query Length",最小查询长度
"Product Suggestions",产品建议
Enable,启用
"Category Suggestions",类别建议
"Page Suggestions",页面建议
"Popular Search Terms Suggestions",热门搜索字词建议
"Show on Focus",聚焦显示
"Show popular terms list when focusing empty search field",聚焦空白搜索字段时显示热门术语列表
"Form Layout",表格布局
"Default - Initially visible form",默认-最初可见的形式
"Icon only - Fullscreen form",仅图标-全屏形式
"Icon only - Minimalistic form",仅图标-简约形式
"Results Layout",结果布局
