Homepage,Startseite
"Product Page",Produktseite
"Category Page",Kategorieseite
"Cms Pages","Cms Seiten"
"Configure and Buy","Konfigurieren und kaufen"
Cart,Wagen
"Browse By","Gesucht von"
"Accelerated Mobile Pages","Beschleunigte mobile Seiten"
"Persistent browsing","Dauerhaftes Surfen"
"Use AMP for all supported pages","Verwenden Sie AMP für alle unterstützten Seiten"
"Use AMP at","Verwenden Sie AMP unter"
"Force AMP activation on","AMP-Aktivierung erzwingen"
"Mobile devices","Mobile Geräte"
"Tablet devices",Tablet-Geräte
"Use full ""Add to Cart"" mode for all supported products","Verwenden Sie für alle unterstützten Produkte den vollständigen Modus ""In den Warenkorb"""
"Use full ""Add to Cart"" mode for","Verwenden Sie den vollständigen ""In den Warenkorb"" -Modus für"
"Disable Layered Navigation","Deaktivieren Sie die geschichtete Navigation"
