Homepage,"Página principal"
"Product Page","Página del producto"
"Category Page","Página de categoría"
"Cms Pages","Páginas de Cms"
"Configure and Buy","Configurar y comprar"
Cart,Carro
"Browse By","Navegar por"
"Accelerated Mobile Pages","Páginas móviles aceleradas"
"Persistent browsing","Navegación persistente"
"Use AMP for all supported pages","Use AMP para todas las páginas compatibles"
"Use AMP at","Use AMP en"
"Force AMP activation on","Forzar la activación de AMP en"
"Mobile devices","Dispositivos móviles"
"Tablet devices","Dispositivos de tableta"
"Use full ""Add to Cart"" mode for all supported products","Utilice el modo completo ""Agregar al carrito"" para todos los productos compatibles"
"Use full ""Add to Cart"" mode for","Utilice el modo completo ""Agregar al carrito"" para"
"Disable Layered Navigation","Deshabilitar navegación en capas"
