Homepage,Homepage
"Product Page","Pagina del prodotto"
"Category Page","Pagina categoria"
"Cms Pages","Cms Pages"
"Configure and Buy","Configura e acquista"
Cart,Carrello
"Browse By","Sfoglia per"
"Accelerated Mobile Pages","Pagine mobili accelerate"
"Persistent browsing","Navigazione persistente"
"Use AMP for all supported pages","Usa AMP per tutte le pagine supportate"
"Use AMP at","Usa AMP a"
"Force AMP activation on","Attiva attivazione AMP"
"Mobile devices","Dispositivi mobili"
"Tablet devices","Dispositivi tablet"
"Use full ""Add to Cart"" mode for all supported products","Utilizzare la modalità ""Aggiungi al carrello"" completa per tutti i prodotti supportati"
"Use full ""Add to Cart"" mode for","Utilizzare la modalità ""Aggiungi al carrello"" completa per"
"Disable Layered Navigation","Disabilita la navigazione a più livelli"
