Homepage,ホームページ
"Product Page",製品ページ
"Category Page",カテゴリーページ
"Cms Pages",Cmsページ
"Configure and Buy",構成と購入
Cart,カート
"Browse By",閲覧
"Accelerated Mobile Pages","Accelerated Mobile Pages"
"Persistent browsing",永続的なブラウジング
"Use AMP for all supported pages",サポートされているすべてのページにAMPを使用する
"Use AMP at",でAMPを使用する
"Force AMP activation on",AMPを強制的に有効化
"Mobile devices",モバイルデバイス
"Tablet devices",タブレットデバイス
"Use full ""Add to Cart"" mode for all supported products",サポートされているすべての製品に対して完全な「カートに追加」モードを使用します
"Use full ""Add to Cart"" mode for",完全な「カートに追加」モードを使用する
"Disable Layered Navigation",レイヤードナビゲーションを無効にする
