Homepage,홈페이지
"Product Page","제품 페이지"
"Category Page","카테고리 페이지"
"Cms Pages","Cms 페이지"
"Configure and Buy","구성 및 구매"
Cart,카트
"Browse By",찾아보기
"Accelerated Mobile Pages","가속화 된 모바일 페이지"
"Persistent browsing","지속적인 브라우징"
"Use AMP for all supported pages","지원되는 모든 페이지에 AMP 사용"
"Use AMP at","에서 AMP 사용"
"Force AMP activation on","AMP 활성화 강제"
"Mobile devices","휴대 기기"
"Tablet devices","태블릿 장치"
"Use full ""Add to Cart"" mode for all supported products","지원되는 모든 제품에 대해 ""장바구니에 추가""모드를 모두 사용하십시오."
"Use full ""Add to Cart"" mode for","전체 ""장바구니에 추가""모드를 사용하십시오."
"Disable Layered Navigation","계층 탐색 비활성화"
