Homepage,"Pagina inicial"
"Product Page","Página do produto"
"Category Page","Página da categoria"
"Cms Pages","Páginas Cms"
"Configure and Buy","Configurar e comprar"
Cart,Carrinho
"Browse By","Procurar por"
"Accelerated Mobile Pages","Páginas para celular aceleradas"
"Persistent browsing","Navegação persistente"
"Use AMP for all supported pages","Use AMP para todas as páginas suportadas"
"Use AMP at","Use AMP em"
"Force AMP activation on","Forçar a ativação de AMP ativada"
"Mobile devices","Dispositivos móveis"
"Tablet devices","Dispositivos para tablets"
"Use full ""Add to Cart"" mode for all supported products","Use o modo ""Adicionar ao carrinho"" completo para todos os produtos suportados"
"Use full ""Add to Cart"" mode for","Use o modo ""Adicionar ao carrinho"" completo para"
"Disable Layered Navigation","Desativar navegação em camadas"
