Homepage,"Домашняя страница"
"Product Page","Страница продукта"
"Category Page","Страница категории"
"Cms Pages","Cms страницы"
"Configure and Buy","Настроить и купить"
Cart,Корзина
"Browse By","Обзор по"
"Accelerated Mobile Pages","Ускоренные мобильные страницы"
"Persistent browsing","Постоянный просмотр"
"Use AMP for all supported pages","Используйте AMP для всех поддерживаемых страниц"
"Use AMP at","Используйте AMP на"
"Force AMP activation on","Принудительно активировать AMP"
"Mobile devices","Мобильные устройства"
"Tablet devices","Планшетные устройства"
"Use full ""Add to Cart"" mode for all supported products","Используйте полный режим «Добавить в корзину» для всех поддерживаемых продуктов"
"Use full ""Add to Cart"" mode for","Используйте полный режим «Добавить в корзину» для"
"Disable Layered Navigation","Отключить многоуровневую навигацию"
