Homepage,"Домашня сторінка"
"Product Page","Сторінка продукту"
"Category Page","Сторінка категорії"
"Cms Pages","Сторінки Cms"
"Configure and Buy","Налаштуйте та купіть"
Cart,Кошик
"Browse By","Переглянути за"
"Accelerated Mobile Pages","Прискорені мобільні сторінки"
"Persistent browsing","Наполегливий перегляд"
"Use AMP for all supported pages","Використовуйте AMP для всіх підтримуваних сторінок"
"Use AMP at","Використовуйте AMP на"
"Force AMP activation on","Увімкніть активацію AMP"
"Mobile devices","Мобільні пристрої"
"Tablet devices","Планшетні пристрої"
"Use full ""Add to Cart"" mode for all supported products","Використовуйте повний режим ""Додати в кошик"" для всіх підтримуваних продуктів"
"Use full ""Add to Cart"" mode for","Використовуйте повний режим ""Додати в кошик"" для"
"Disable Layered Navigation","Вимкнути багатошарову навігацію"
