Homepage,主页
"Product Page",产品页面
"Category Page",分类页面
"Cms Pages",Cms页面
"Configure and Buy",配置和购买
Cart,大车
"Browse By",浏览依据
"Accelerated Mobile Pages",加速的移动页面
"Persistent browsing",持续浏览
"Use AMP for all supported pages",对所有受支持的页面使用AMP
"Use AMP at",在使用AMP
"Force AMP activation on",强制开启AMP
"Mobile devices",移动设备
"Tablet devices",平板电脑设备
"Use full ""Add to Cart"" mode for all supported products",对所有受支持的产品使用完整的“添加到购物车”模式
"Use full ""Add to Cart"" mode for",使用完整的“添加到购物车”模式
"Disable Layered Navigation",禁用分层导航
