"Save Slider","슬라이더 저장"
"Delete Slider","슬라이더 삭제"
"Edit Slider - '%1'","슬라이더 편집- '%1'"
"New Slider","새로운 슬라이더"
Parameters,"매개 변수"
Direction,방향
Horizontal,수평
Vertical,세로
Effect,효과
Slide,"미끄러지 다"
Fade,바래다
Cube,입방체
Coverflow,"커버 플로우"
Flip,튀기다
Speed,속도
Autoplay,"자동 재생"
Pagination,"쪽수 매기기"
"Navigation Buttons","탐색 버튼"
Scrollbar,"스크롤 바"
"Scrollbar Hide","스크롤바 숨기기"
WatchSlidesProgress,WatchSlidesProgress
WatchSlidesVisibility,"시계 슬라이드"
Slides,슬라이드
"Add New Slide","새 슬라이드 추가"
"Slider was deleted.","슬라이더가 삭제되었습니다."
"Can't find a slider to delete.","삭제할 슬라이더를 찾을 수 없습니다."
EasySlide,EasySlide
"Manage Sliders","슬라이더 관리"
"This slider no longer exists.","이 슬라이더는 더 이상 존재하지 않습니다."
"Edit Slider","슬라이더 편집"
Sliders,슬라이더
"Slider has been saved.","슬라이더가 저장되었습니다."
"Something went wrong while saving the slider.","슬라이더를 저장하는 중에 문제가 발생했습니다."
Link,링크
"Open link in","링크 열기"
Description,기술
"Description Position","설명 위치"
"Description Background","설명 배경"
"Slide Detail","슬라이드 상세"
"Select Slider","슬라이더를 선택하십시오"
"Add New Slider","새 슬라이더 추가"
Black,검은
White,하얀
