Handles,Handles
"Save Banner","Save Banner"
"Delete Banner","Delete Banner"
"Edit Banner - '%1'","Edit Banner - '%1'"
"New Banner","New Banner"
"Css Class","Css Class"
"Image Options","Image Options"
"Use image resizer","Use image resizer"
"Retina support","Retina support"
"Actual image size should be twice larger then entered width and height","Actual image size should be twice larger then entered width and height"
"Background Color","Background Color"
"Html Content","Html Content"
Banner,Banner
Lightbox,Lightbox
Awesomebar,Awesomebar
"Hide Url","Hide Url"
Target,Target
Popup,Popup
Blank,Blank
Self,Self
"Sort Order","Sort Order"
"Store View","Store View"
Placeholder,Placeholder
Statistics,Statistics
"New Placeholder","New Placeholder"
"Banners Display Count","Banners Display Count"
"Sort mode","Sort mode"
"By Banners Sort Order","By Banners Sort Order"
Random,Random
"Banner was deleted.","Banner was deleted."
"Banner was disabled.","Banner was disabled."
EasyBanner,EasyBanner
Banners,Banners
"This banner no longer exists.","This banner no longer exists."
"Edit Banner","Edit Banner"
"Banner was enabled.","Banner was enabled."
"Manage Banners","Manage Banners"
"Banner has been saved.","Banner has been saved."
"Something went wrong while saving the banner.","Something went wrong while saving the banner."
"Placeholder was deleted.","Placeholder was deleted."
"Placeholder was disabled.","Placeholder was disabled."
Placeholders,Placeholders
"This placeholder no longer exists.","This placeholder no longer exists."
"Placeholder was enabled.","Placeholder was enabled."
"Manage Placeholders","Manage Placeholders"
"Placeholder has been saved.","Placeholder has been saved."
"Something went wrong while saving the placeholder.","Something went wrong while saving the placeholder."
"Subtotal (Excl.Tax)","Subtotal (Excl.Tax)"
"Subtotal (Incl.Tax)","Subtotal (Incl.Tax)"
"Clicks Count","Clicks Count"
"Display Count","Display Count"
"Display Count per Customer","Display Count per Customer"
"Lightbox/Awesomebar: Customer browsing time (seconds)","Lightbox/Awesomebar: Customer browsing time (seconds)"
"Lightbox/Awesomebar: Customer inactivity time (seconds)","Lightbox/Awesomebar: Customer inactivity time (seconds)"
"Lightbox/Awesomebar: Customer activity time (seconds)","Lightbox/Awesomebar: Customer activity time (seconds)"
"Lightbox/Awesomebar: Scroll offset","Lightbox/Awesomebar: Scroll offset"
"Open Chooser","Open Chooser"
%1%1"Last 7 days","Last 7 days"
"Last 30 days","Last 30 days"
"Last 6 Month","Last 6 Month"
"Last 12 Month","Last 12 Month"
"All Time","All Time"
"Banner Statistics","Banner Statistics"
"EasyBanner Banner","EasyBanner Banner"
"Select Banner...","Select Banner..."
"EasyBanner Placeholder","EasyBanner Placeholder"
"Select Placeholder...","Select Placeholder..."
"Add Banner","Add Banner"
"Image Title","Image Title"
"Is Active","Is Active"
"Add Placeholder","Add Placeholder"
"Additional CSS Class","Additional CSS Class"
"If you are going to show this placeholder in a sidebar it's recommended to set the following value: block block-easybanner-placeholder","If you are going to show this placeholder in a sidebar it's recommended to set the following value: block block-easybanner-placeholder"
"Parent Container","Parent Container"
"Don't know container name? Leave it empty and assign placeholder to the required container via 'Content > Widgets' interface. You can also view the list of common placeholder positions at http://docs.swissuplabs.com/m2/extensions/easybanners/common-placeholder-positions/","Don't know container name? Leave it empty and assign placeholder to the required container via 'Content > Widgets' interface. You can also view the list of common placeholder positions at http://docs.swissuplabs.com/m2/extensions/easybanners/common-placeholder-positions/"
"Position","Position"
"XML attribute syntax is required. Examples: before=""-"", after=""-"", before=""block.name""","XML attribute syntax is required. Examples: before=""-"", after=""-"", before=""block.name"""
"Don't show anymore","Don't show anymore"
"Exit intent time (seconds)","Exit intent time (seconds)"
"Use responsive images","Use responsive images"
"Force image to use `srcset` attribute. This option can increase PageSpeed score when properly configured.","Force image to use `srcset` attribute. This option can increase PageSpeed score when properly configured."
"New Size","New Size"
"Media condition","Media condition"
"Image width","Image width"
"Cookie Name","Cookie Name"
"Clear Statistics","Clear Statistics"
"Banner statistics was cleared. %1 rows were removed.","Banner statistics was cleared. %1 rows were removed."
"Enable Statistics","Enable Statistics"
"Banner statistics is disabled.","Banner statistics is disabled."
"Change statistics status","Change statistics status"
