Handles,Manejas
"Save Banner","Guardar banner"
"Delete Banner","Eliminar banner"
"Edit Banner - '%1'","Editar banner: '%1'"
"New Banner","Banner nuevo"
"Css Class","Clase css"
"Image Options","Opciones de imagen"
"Use image resizer","Usa el cambio de imagen"
"Retina support","Soporte de retina"
"Actual image size should be twice larger then entered width and height","El tamaño real de la imagen debe ser dos veces mayor que el ancho y la altura ingresados"
"Background Color","Color de fondo"
"Html Content","Contenido HTML"
Banner,Bandera
Lightbox,"Caja ligera"
Awesomebar,Awesomebar
"Hide Url","Ocultar URL"
Target,Objetivo
Popup,Surgir
Blank,Blanco
Self,Yo
"Sort Order","Orden de clasificación"
"Store View","Vista de tienda"
Placeholder,"Marcador de posición"
Statistics,Estadísticas
"New Placeholder","Nuevo marcador de posición"
"Banners Display Count","Banners Display Count"
"Sort mode","Modo de clasificación"
"By Banners Sort Order","Por orden de clasificación de pancartas"
Random,Aleatorio
"Banner was deleted.","El banner fue eliminado."
"Banner was disabled.","El banner fue deshabilitado."
EasyBanner,EasyBanner
Banners,Pancartas
"This banner no longer exists.","Este banner ya no existe."
"Edit Banner","Editar banner"
"Banner was enabled.","El banner estaba habilitado."
"Manage Banners","Administrar pancartas"
"Banner has been saved.","El banner ha sido guardado."
"Something went wrong while saving the banner.","Algo salió mal al guardar el banner."
"Placeholder was deleted.","Se eliminó el marcador de posición."
"Placeholder was disabled.","El marcador de posición fue deshabilitado."
Placeholders,"Marcadores de posición"
"This placeholder no longer exists.","Este marcador de posición ya no existe."
"Placeholder was enabled.","El marcador de posición estaba habilitado."
"Manage Placeholders","Administrar marcadores de posición"
"Placeholder has been saved.","Se ha guardado el marcador de posición."
"Something went wrong while saving the placeholder.","Algo salió mal al guardar el marcador de posición."
"Subtotal (Excl.Tax)","Subtotal (sin impuestos)"
"Subtotal (Incl.Tax)","Subtotal (Impuesto incluido)"
"Clicks Count","Recuento de clics"
"Display Count","Display Count"
"Display Count per Customer","Recuento de visualizaciones por cliente"
"Lightbox/Awesomebar: Customer browsing time (seconds)","Lightbox / Awesomebar: tiempo de navegación del cliente (segundos)"
"Lightbox/Awesomebar: Customer inactivity time (seconds)","Lightbox / Awesomebar: tiempo de inactividad del cliente (segundos)"
"Lightbox/Awesomebar: Customer activity time (seconds)","Lightbox / Awesomebar: tiempo de actividad del cliente (segundos)"
"Lightbox/Awesomebar: Scroll offset","Lightbox / Awesomebar: desplazamiento de desplazamiento"
"Open Chooser","Selector abierto"
%1%1"Last 7 days","Los últimos 7 días"
"Last 30 days","Últimos 30 días"
"Last 6 Month","Últimos 6 meses"
"Last 12 Month","Últimos 12 meses"
"All Time","Todo el tiempo"
"Banner Statistics","Estadísticas de banner"
"EasyBanner Banner","EasyBanner Banner"
"Select Banner...","Seleccione Banner ..."
"EasyBanner Placeholder","Marcador de posición de EasyBanner"
"Select Placeholder...","Seleccionar marcador de posición ..."
"Add Banner","Agregar banner"
"Image Title","titulo de la imagen"
"Is Active","Está activo"
"Add Placeholder","Agregar marcador de posición"
"Additional CSS Class","Clase CSS adicional"
"If you are going to show this placeholder in a sidebar it's recommended to set the following value: block block-easybanner-placeholder","Si va a mostrar este marcador de posición en una barra lateral, se recomienda establecer el siguiente valor: block block-easybanner-placeholder"
"Parent Container","Contenedor para padres"
"Don't know container name? Leave it empty and assign placeholder to the required container via 'Content > Widgets' interface. You can also view the list of common placeholder positions at http://docs.swissuplabs.com/m2/extensions/easybanners/common-placeholder-positions/","¿No sabes el nombre del contenedor? Déjelo vacío y asigne un marcador de posición al contenedor requerido a través de la interfaz 'Contenido> Widgets'. También puede ver la lista de posiciones de marcador de posición comunes en http://docs.swissuplabs.com/m2/extensions/easybanners/common-placeholder-positions/"
Position,Posición
"XML attribute syntax is required. Examples: before=""-"", after=""-"", before=""block.name""","Se requiere la sintaxis del atributo XML. Ejemplos: before = ""-"", after = ""-"", before = ""block.name"""
"Don't show anymore","No mostrar más"
"Exit intent time (seconds)","Tiempo de intento de salida (segundos)"
