Handles,Poignées
"Save Banner","Enregistrer la bannière"
"Delete Banner","Supprimer la bannière"
"Edit Banner - '%1'","Modifier la bannière - '%1'"
"New Banner","Nouvelle bannière"
"Css Class","Classe CSS"
"Image Options","Options d'image"
"Use image resizer","Utiliser le redimensionneur d'image"
"Retina support","Support rétine"
"Actual image size should be twice larger then entered width and height","La taille réelle de l'image doit être deux fois plus grande que la largeur et la hauteur saisies"
"Background Color","Couleur de l'arrière plan"
"Html Content","Contenu HTML"
Banner,Bannière
Lightbox,"Boite à lumière"
Awesomebar,Awesomebar
"Hide Url","Masquer l'URL"
Target,Cible
Popup,Apparaitre
Blank,Vide
Self,Soi
"Sort Order","Ordre de tri"
"Store View","Vue du magasin"
Placeholder,"Espace réservé"
Statistics,Statistiques
"New Placeholder","Nouveau paramètre fictif"
"Banners Display Count","Nombre d'affichage des bannières"
"Sort mode","Mode de tri"
"By Banners Sort Order","Par ordre de tri des bannières"
Random,Aléatoire
"Banner was deleted.","La bannière a été supprimée."
"Banner was disabled.","La bannière a été désactivée."
EasyBanner,EasyBanner
Banners,Bannières
"This banner no longer exists.","Cette bannière n'existe plus."
"Edit Banner","Modifier la bannière"
"Banner was enabled.","La bannière a été activée."
"Manage Banners","Gérer les bannières"
"Banner has been saved.","La bannière a été enregistrée."
"Something went wrong while saving the banner.","Une erreur s'est produite lors de l'enregistrement de la bannière."
"Placeholder was deleted.","L'espace réservé a été supprimé."
"Placeholder was disabled.","L'espace réservé a été désactivé."
Placeholders,"Espaces réservés"
"This placeholder no longer exists.","Cet espace réservé n'existe plus."
"Placeholder was enabled.","L'espace réservé a été activé."
"Manage Placeholders","Gérer les espaces réservés"
"Placeholder has been saved.","L'espace réservé a été enregistré."
"Something went wrong while saving the placeholder.","Une erreur s'est produite lors de l'enregistrement de l'espace réservé."
"Subtotal (Excl.Tax)","Sous-total (hors taxes)"
"Subtotal (Incl.Tax)","Sous-total (TTC)"
"Clicks Count","Nombre de clics"
"Display Count","Nombre d'affichage"
"Display Count per Customer","Nombre d'affichage par client"
"Lightbox/Awesomebar: Customer browsing time (seconds)","Lightbox / Awesomebar: Temps de navigation du client (secondes)"
"Lightbox/Awesomebar: Customer inactivity time (seconds)","Lightbox / Awesomebar: Temps d'inactivité du client (secondes)"
"Lightbox/Awesomebar: Customer activity time (seconds)","Lightbox / Awesomebar: Temps d'activité du client (secondes)"
"Lightbox/Awesomebar: Scroll offset","Lightbox / Awesomebar: décalage de défilement"
"Open Chooser","Ouvrir le sélecteur"
%1%1"Last 7 days","Les 7 derniers jours"
"Last 30 days","Les 30 derniers jours"
"Last 6 Month","6 derniers mois"
"Last 12 Month","12 derniers mois"
"All Time","Tout le temps"
"Banner Statistics","Statistiques des bannières"
"EasyBanner Banner","Bannière EasyBanner"
"Select Banner...","Sélectionnez la bannière ..."
"EasyBanner Placeholder","Espace réservé EasyBanner"
"Select Placeholder...","Sélectionnez l'espace réservé ..."
"Add Banner","Ajouter une bannière"
"Image Title","Titre de l'image"
"Is Active","C'est actif"
"Add Placeholder","Ajouter un espace réservé"
"Additional CSS Class","Classe CSS supplémentaire"
"If you are going to show this placeholder in a sidebar it's recommended to set the following value: block block-easybanner-placeholder","Si vous souhaitez afficher cet espace réservé dans une barre latérale, il est recommandé de définir la valeur suivante: block block-easybanner-placeholder"
"Parent Container","Conteneur parent"
"Don't know container name? Leave it empty and assign placeholder to the required container via 'Content > Widgets' interface. You can also view the list of common placeholder positions at http://docs.swissuplabs.com/m2/extensions/easybanners/common-placeholder-positions/","Vous ne connaissez pas le nom du conteneur? Laissez-le vide et affectez un espace réservé au conteneur requis via l'interface 'Contenu> Widgets'. Vous pouvez également consulter la liste des positions d'espace réservé courantes sur http://docs.swissuplabs.com/m2/extensions/easybanners/common-placeholder-positions/"
Position,Position
"XML attribute syntax is required. Examples: before=""-"", after=""-"", before=""block.name""","La syntaxe d'attribut XML est requise. Exemples: avant = ""-"", après = ""-"", avant = ""block.name"""
"Don't show anymore","Ne plus montrer"
"Exit intent time (seconds)","Temps d'intention de sortie (secondes)"
