Handles,ידיות
"Save Banner","שמור באנר"
"Delete Banner","מחק באנר"
"Edit Banner - '%1'","עריכת באנר - '%1'"
"New Banner","באנר חדש"
"Css Class","כיתת Css"
"Image Options","אפשרויות תמונה"
"Use image resizer","השתמש בכושר שינוי גודל התמונה"
"Retina support","תמיכה ברשתית"
"Actual image size should be twice larger then entered width and height","גודל התמונה בפועל צריך להיות גדול פעמיים ואז להזין רוחב וגובה"
"Background Color","צבע רקע"
"Html Content","תוכן HTML"
Banner,באנר
Lightbox,"קופסה קלה"
Awesomebar,מדהים
"Hide Url","הסתר את כתובת האתר"
Target,יעד
Popup,קופץ
Blank,ריק
Self,עצמי
"Sort Order","סדר המיון"
"Store View","תצוגת חנות"
Placeholder,"מציין מקום"
Statistics,סטטיסטיקה
"New Placeholder","מציין מקום חדש"
"Banners Display Count","ספירת תצוגת באנרים"
"Sort mode","מצב מיון"
"By Banners Sort Order","לפי סדר מיון באנרים"
Random,אקראי
"Banner was deleted.","הכרזה נמחקה."
"Banner was disabled.","הכרזה הושבתה."
EasyBanner,EasyBanner
Banners,באנרים
"This banner no longer exists.","כרזה זו כבר לא קיימת."
"Edit Banner","ערוך את הבאנר"
"Banner was enabled.","הכרזה הופעלה."
"Manage Banners","נהל באנרים"
"Banner has been saved.","הכרזה נשמרה."
"Something went wrong while saving the banner.","משהו השתבש בזמן שמירת הכרזת."
"Placeholder was deleted.","מציין המיקום נמחק."
"Placeholder was disabled.","מציין המיקום הושבת."
Placeholders,"מצייני מקום"
"This placeholder no longer exists.","מציין מקום זה כבר לא קיים."
"Placeholder was enabled.","מציין המיקום הופעל."
"Manage Placeholders","נהל מצייני מקום"
"Placeholder has been saved.","מציין המיקום נשמר."
"Something went wrong while saving the placeholder.","משהו השתבש בזמן שהציל את מציין המיקום."
"Subtotal (Excl.Tax)","משנה (Excl.Tax)"
"Subtotal (Incl.Tax)","משנה (כולל מחיר)"
"Clicks Count","ספירת קליקים"
"Display Count","ספירת תצוגה"
"Display Count per Customer","ספירת תצוגה ללקוח"
"Lightbox/Awesomebar: Customer browsing time (seconds)","Lightbox / Awesomebar: זמן הגלישה של הלקוח (שניות)"
"Lightbox/Awesomebar: Customer inactivity time (seconds)","Lightbox / Awesomebar: זמן חוסר פעילות של לקוחות (שניות)"
"Lightbox/Awesomebar: Customer activity time (seconds)","Lightbox / Awesomebar: זמן פעילות לקוחות (שניות)"
"Lightbox/Awesomebar: Scroll offset","Lightbox / Awesomebar: גלילת אופסט"
"Open Chooser","בוחר פתוח"
%1%1"Last 7 days","7 הימים האחרונים"
"Last 30 days","30 הימים האחרונים"
"Last 6 Month","6 החודש האחרון"
"Last 12 Month","12 החודש האחרון"
"All Time","כל הזמן"
"Banner Statistics","סטטיסטיקת באנר"
"EasyBanner Banner","באנר EasyBanner"
"Select Banner...","בחר באנר ..."
"EasyBanner Placeholder","מציין מיקום של EasyBanner"
"Select Placeholder...","בחר מציין מקום ..."
"Add Banner","הוסף באנר"
"Image Title","כותרת תמונה"
"Is Active",פעיל
"Add Placeholder","הוסף מציין מקום"
"Additional CSS Class","כיתת CSS נוספת"
"If you are going to show this placeholder in a sidebar it's recommended to set the following value: block block-easybanner-placeholder","אם אתה מתכוון להציג את מציין המיקום הזה בסרגל צידי, מומלץ להגדיר את הערך הבא: חסום חסימת קל-מציין מיקום באנר"
"Parent Container","מיכל הורה"
"Don't know container name? Leave it empty and assign placeholder to the required container via 'Content > Widgets' interface. You can also view the list of common placeholder positions at http://docs.swissuplabs.com/m2/extensions/easybanners/common-placeholder-positions/","אינך יודע את שם המכולה? השאר אותו ריק והקצה מציין מיקום למכל הנדרש באמצעות ממשק 'תוכן> ווידג'טים'. באפשרותך גם להציג את רשימת עמדות מצייני המיקום הנפוצות בכתובת http://docs.swissuplabs.com/m2/extensions/easybanners/common-placeholder-positions/"
Position,עמדה
"XML attribute syntax is required. Examples: before=""-"", after=""-"", before=""block.name""","תחביר של תכונות XML נדרש. דוגמאות: לפני = ""-"", אחרי = ""-"", לפני = ""block.name"""
"Don't show anymore","אל תציג יותר"
"Exit intent time (seconds)","צא משעת כוונה (שניות)"
