Handles,핸들
"Save Banner","배너 저장"
"Delete Banner","배너 삭제"
"Edit Banner - '%1'","배너 수정- '%1'"
"New Banner","새 배너"
"Css Class","CSS 클래스"
"Image Options","이미지 옵션"
"Use image resizer","이미지 리사이 저 사용"
"Retina support","망막 지원"
"Actual image size should be twice larger then entered width and height","실제 이미지 크기는 너비와 높이보다 두 배 커야합니다."
"Background Color",배경색
"Html Content","HTML 내용"
Banner,배너
Lightbox,"라이트 박스"
Awesomebar,"어 썸바"
"Hide Url","URL 숨기기"
Target,표적
Popup,팝업
Blank,공백
Self,본인
"Sort Order","정렬 순서"
"Store View",매장보기
Placeholder,"자리 표시 자"
Statistics,통계
"New Placeholder","새로운 자리 표시 자"
"Banners Display Count","배너 표시 수"
"Sort mode","정렬 모드"
"By Banners Sort Order","배너 별 정렬 순서"
Random,무작위
"Banner was deleted.","배너가 삭제되었습니다."
"Banner was disabled.","배너가 비활성화되었습니다."
EasyBanner,"이지 배너"
Banners,배너
"This banner no longer exists.","이 배너는 더 이상 존재하지 않습니다."
"Edit Banner","배너 편집"
"Banner was enabled.","배너가 활성화되었습니다."
"Manage Banners","배너 관리"
"Banner has been saved.","배너가 저장되었습니다."
"Something went wrong while saving the banner.","배너를 저장하는 중에 문제가 발생했습니다."
"Placeholder was deleted.","자리 표시자가 삭제되었습니다."
"Placeholder was disabled.","자리 표시자가 비활성화되었습니다."
Placeholders,"자리 표시 자"
"This placeholder no longer exists.","이 자리 표시자는 더 이상 존재하지 않습니다."
"Placeholder was enabled.","자리 표시자가 활성화되었습니다."
"Manage Placeholders","자리 표시 자 관리"
"Placeholder has been saved.","자리 표시자가 저장되었습니다."
"Something went wrong while saving the placeholder.","자리 표시자를 저장하는 중에 문제가 발생했습니다."
"Subtotal (Excl.Tax)","소계 (세금 제외)"
"Subtotal (Incl.Tax)","소계 (세금 포함)"
"Clicks Count","클릭 수"
"Display Count","디스플레이 수"
"Display Count per Customer","고객 당 디스플레이 수"
"Lightbox/Awesomebar: Customer browsing time (seconds)","라이트 박스 / 어 썸바 : 고객 탐색 시간 (초)"
"Lightbox/Awesomebar: Customer inactivity time (seconds)","라이트 박스 / 어 썸바 : 고객 비 활동 시간 (초)"
"Lightbox/Awesomebar: Customer activity time (seconds)","라이트 박스 / 어 썸바 : 고객 활동 시간 (초)"
"Lightbox/Awesomebar: Scroll offset","라이트 박스 / 어 썸바 : 스크롤 오프셋"
"Open Chooser","선택기 열기"
%1%1"Last 7 days","지난 7 일"
"Last 30 days","지난 30 일"
"Last 6 Month","지난 6 개월"
"Last 12 Month","지난 12 개월"
"All Time","모든 시간"
"Banner Statistics","배너 통계"
"EasyBanner Banner","EasyBanner 배너"
"Select Banner...","배너 선택 ..."
"EasyBanner Placeholder","EasyBanner 플레이스 홀더"
"Select Placeholder...","자리 표시 자 선택 ..."
"Add Banner","배너 추가"
"Image Title","이미지 제목"
"Is Active",활성
"Add Placeholder","자리 표시 자 추가"
"Additional CSS Class","추가 CSS 클래스"
"If you are going to show this placeholder in a sidebar it's recommended to set the following value: block block-easybanner-placeholder","이 자리 표시자를 사이드 바에 표시하려면 다음 값을 설정하는 것이 좋습니다. block block-easybanner-placeholder"
"Parent Container","부모 컨테이너"
"Don't know container name? Leave it empty and assign placeholder to the required container via 'Content > Widgets' interface. You can also view the list of common placeholder positions at http://docs.swissuplabs.com/m2/extensions/easybanners/common-placeholder-positions/","컨테이너 이름을 모르십니까? 비워두고 '컨텐츠> 위젯'인터페이스를 통해 필요한 컨테이너에 자리 표시자를 할당하십시오. http://docs.swissuplabs.com/m2/extensions/easybanners/common-placeholder-positions/에서 일반적인 자리 표시 자 위치 목록을 볼 수도 있습니다."
Position,위치
"XML attribute syntax is required. Examples: before=""-"", after=""-"", before=""block.name""","XML 속성 구문이 필요합니다. 예 : before = ""-"", after = ""-"", before = ""block.name"""
"Don't show anymore","더 이상 표시하지 않습니다"
"Exit intent time (seconds)","종료 의도 시간 (초)"
