Handles,Uchwyty
"Save Banner","Zapisz baner"
"Delete Banner","Usuń baner"
"Edit Banner - '%1'","Edytuj baner - „%1”"
"New Banner","Nowy baner"
"Css Class","Klasa Css"
"Image Options","Opcje obrazu"
"Use image resizer","Użyj narzędzia do zmiany rozmiaru obrazu"
"Retina support","Wsparcie dla siatkówki"
"Actual image size should be twice larger then entered width and height","Rzeczywisty rozmiar obrazu powinien być dwa razy większy niż wprowadzona szerokość i wysokość"
"Background Color","Kolor tła"
"Html Content","Treść HTML"
Banner,Transparent
Lightbox,Lightbox
Awesomebar,Awesomebar
"Hide Url","Ukryj adres URL"
Target,Cel
Popup,Popup
Blank,Pusty
Self,"Samego siebie"
"Sort Order","Porządek sortowania"
"Store View","Widok sklepu"
Placeholder,"Symbol zastępczy"
Statistics,Statystyka
"New Placeholder","Nowy symbol zastępczy"
"Banners Display Count","Liczba wyświetlanych banerów"
"Sort mode","Tryb sortowania"
"By Banners Sort Order","Według kolejności sortowania banerów"
Random,Losowy
"Banner was deleted.","Baner został usunięty."
"Banner was disabled.","Baner został wyłączony."
EasyBanner,EasyBanner
Banners,Banery
"This banner no longer exists.","Ten baner już nie istnieje."
"Edit Banner","Edytuj baner"
"Banner was enabled.","Baner został włączony."
"Manage Banners","Zarządzaj banerami"
"Banner has been saved.","Baner został zapisany."
"Something went wrong while saving the banner.","Coś poszło nie tak podczas zapisywania banera."
"Placeholder was deleted.","Symbol zastępczy został usunięty."
"Placeholder was disabled.","Symbol zastępczy został wyłączony."
Placeholders,"Symbole zastępcze"
"This placeholder no longer exists.","Ten symbol zastępczy już nie istnieje."
"Placeholder was enabled.","Symbol zastępczy został włączony."
"Manage Placeholders","Zarządzaj symbolami zastępczymi"
"Placeholder has been saved.","Symbol zastępczy został zapisany."
"Something went wrong while saving the placeholder.","Coś poszło nie tak podczas zapisywania symbolu zastępczego."
"Subtotal (Excl.Tax)","Suma częściowa (bez podatku)"
"Subtotal (Incl.Tax)","Suma częściowa (z podatkiem)"
"Clicks Count","Liczba kliknięć"
"Display Count","Wyświetl liczbę"
"Display Count per Customer","Wyświetl liczbę według klienta"
"Lightbox/Awesomebar: Customer browsing time (seconds)","Lightbox / Awesomebar: czas przeglądania klienta (sekundy)"
"Lightbox/Awesomebar: Customer inactivity time (seconds)","Lightbox / Awesomebar: czas bezczynności klienta (sekundy)"
"Lightbox/Awesomebar: Customer activity time (seconds)","Lightbox / Awesomebar: czas aktywności klienta (sekundy)"
"Lightbox/Awesomebar: Scroll offset","Lightbox / Awesomebar: Przewiń przesunięcie"
"Open Chooser","Otwórz Wybieracz"
%1%1"Last 7 days","Ostatnie 7 dni"
"Last 30 days","Ostatnie 30 dni"
"Last 6 Month","Ostatnie 6 miesięcy"
"Last 12 Month","Ostatnie 12 miesięcy"
"All Time","Cały czas"
"Banner Statistics","Statystyka banerów"
"EasyBanner Banner","Baner EasyBanner"
"Select Banner...","Wybierz baner ..."
"EasyBanner Placeholder","Symbol zastępczy EasyBanner"
"Select Placeholder...","Wybierz symbol zastępczy ..."
"Add Banner","Dodaj baner"
"Image Title","Tytuł obrazu"
"Is Active","Jest aktywny"
"Add Placeholder","Dodaj symbol zastępczy"
"Additional CSS Class","Dodatkowa klasa CSS"
"If you are going to show this placeholder in a sidebar it's recommended to set the following value: block block-easybanner-placeholder","Jeśli chcesz pokazać ten symbol zastępczy na pasku bocznym, zaleca się ustawienie następującej wartości: block block-easybanner-placeholder"
"Parent Container","Kontener nadrzędny"
"Don't know container name? Leave it empty and assign placeholder to the required container via 'Content > Widgets' interface. You can also view the list of common placeholder positions at http://docs.swissuplabs.com/m2/extensions/easybanners/common-placeholder-positions/","Nie znasz nazwy kontenera? Pozostaw puste i przypisz symbol zastępczy do wymaganego kontenera za pomocą interfejsu „Treść> Widżety”. Możesz także wyświetlić listę typowych pozycji zastępczych na stronie http://docs.swissuplabs.com/m2/extensions/easybanners/common-placeholder-pozycje/"
Position,Pozycja
"XML attribute syntax is required. Examples: before=""-"", after=""-"", before=""block.name""","Wymagana jest składnia atrybutu XML. Przykłady: before = ""-"", after = ""-"", before = ""block.name"""
"Don't show anymore","Nie pokazuj więcej"
"Exit intent time (seconds)","Czas zamiaru wyjścia (sekundy)"
