"Product Labels","تسميات المنتجات"
"Add New Label","إضافة تسمية جديدة"
"Save Label","حفظ التسمية"
"Delete Label","حذف التسمية"
"Edit Label '%1'","تحرير التسمية '%1'"
"New Label","تسمية جديدة"
Settings,اعدادات
Position,موقف
Top-Left,"أعلى اليسار"
Top-Center,"أفضل مركز"
Top-Right,"أعلى اليمين"
Middle-Left,"يسار متوسط"
Middle-Center,"الوسط الوسط"
Middle-Right,"اليمين الأوسط"
Bottom-Left,"أسفل اليسار"
Bottom-Center,"أسفل المركز"
Bottom-Right,"أسفل اليمين"
Content,المحتوي
"Label Text","نص التسمية"
"Custom Css Label","تسمية Css مخصصة"
"Css Style Only. Example: color: #fff; text-shadow: 0 1px 0 rgba(0,0,0,0.3); width: 60px; height: 60px;background:#ff7800; border-radius:50%;","نمط المغلق فقط. مثال: اللون: #fff; النص الظل: 0 1px 0 rgba (0,0,0,0.3); العرض: 60px؛ الارتفاع: 60px؛ الخلفية: #ff7800؛ نصف قطر الحدود: 50%؛"
"Label Custom Url","تسمية عنوان URL المخصص"
"Round Method","طريقة الجولة"
Math,الرياضيات
Ceil,سيل
Floor,الكلمه
"Round Value","قيمة الجولة"
"Labels Gallery","معرض التسميات"
"Label Image","صورة التسمية"
"Category Label","تسمية الفئة"
"Conditions (don't add conditions if label is applied to all products)","الشروط (لا تضيف شروطًا إذا تم تطبيق التسمية على جميع المنتجات)"
"Indexed Products","المنتجات المفهرسة"
"Attribute Set","مجموعة السمات"
"Product Label","تسمية المنتج"
"Label Gallery","معرض التسمية"
"We couldn't find any labels","لم نتمكن من العثور على أي تسميات"
"Labels have been applied.","تم تطبيق التسميات."
"Label has been applied.","تم تطبيق التسمية."
"Label was deleted.","تم حذف التسمية."
"Can't find a label to delete.","لا يمكن العثور على تسمية لحذفها."
"Label was disabled.","تم تعطيل التسمية."
"Can't find a label to disable.","لا يمكن العثور على تسمية لتعطيلها."
ProLabels,ProLabels
"Manage Labels","إدارة التسميات"
"This label no longer exists.","لم تعد هذه التسمية موجودة."
"Edit Label","تحرير التسمية"
"Label was enabled.","تم تمكين التسمية."
"Can't find a label to enable.","لا يمكن العثور على تسمية لتمكين."
"Label has been saved.","تم حفظ التسمية."
"Something went wrong while saving the label.","حدث خطأ ما أثناء حفظ الملصق."
"up to ","ما يصل إلى "
Edit,تحرير
"All Store Views","جميع طرق عرض المتجر"
"Click here or drag and drop to add images.","انقر هنا أو اسحب وأسقط لإضافة صور."
Swissup,"سويس أوب"
"jQuery Selector For Base Image Wrapper","jQuery محدد لغلاف الصورة الأساسية"
"jQuery Selector For Content Labels Container","jQuery محدد لحاوية تسميات المحتوى"
"On Sale",للبيع
"SALE labels are the cost-effective way to mark store sales and attract visitors attention. They are shown on discounted and on-sale products. Using On Sale labels you catch customers attention to the promotional items.","تسميات بيع هي وسيلة فعالة من حيث التكلفة لوضع علامة على مبيعات المتجر وجذب انتباه الزوار. وهي معروضة على المنتجات المخفضة والمعروضة للبيع. باستخدام تسميات على بيع يمكنك جذب انتباه العملاء إلى العناصر الترويجية."
"Product Page","صفحة المنتج"
Image,الصوره
"Custom Label","تسمية مخصصة"
"Category Page","صفحة الفئة"
"Is New","هو جديد"
"New Labels are used for the presentation of new items at your store.","يتم استخدام تسميات جديدة لعرض عناصر جديدة في متجرك."
"In Stock","في المخزون"
"In Stock labels are used to show low stock items. Using in stock and out of stock labels, you focus the customers attention on the limited availability of products.","في تسميات الأسهم تستخدم لإظهار عناصر الأسهم المنخفضة. باستخدام المخزون والخروج من تسميات الأسهم ، يمكنك تركيز انتباه العملاء على التوافر المحدود للمنتجات."
"Display if Stock is lower then","عرض إذا كان المخزون أقل ثم"
"Out Of Stock","نفاد المخزون"
"Apply Labels","تطبيق التسميات"
"Product Image","صورة المنتج"
"Product Position","موضع المنتج"
"Product Text","نص المنتج"
"Category Image","صورة الفئة"
"Category Position","موقف الفئة"
"Category Text","نص الفئة"
