"Product Labels","Étiquettes de produits"
"Add New Label","Ajouter une nouvelle étiquette"
"Save Label","Enregistrer l’étiquette"
"Delete Label","Supprimer l’étiquette"
"Edit Label '%1'","Edit Label '%1'"
"New Label","Nouveau label"
Settings,Paramètres
Position,Position
Top-Left,"Haut à gauche"
Top-Center,"Top-Center (top-center)"
Top-Right,"Haut à droite"
Middle-Left,Centre-gauche
Middle-Center,Centre-centre
Middle-Right,Milieu-droit
Bottom-Left,"En bas à gauche"
Bottom-Center,Bas-Centre
Bottom-Right,"En bas à droite"
Content,Contenu
"Label Text","Texte d’étiquette"
"Custom Css Label","Étiquette Css personnalisée"
"Css Style Only. Example: color: #fff; text-shadow: 0 1px 0 rgba(0,0,0,0.3); width: 60px; height: 60px;background:#ff7800; border-radius:50%;","Css Style seulement. Exemple : couleur : #fff ; texte-ombre: 0 1px 0 rgba (0,0,0,0.3); largeur: 60px; hauteur: 60px;background:#ff7800; border-radius:50%;"
"Label Custom Url","Url personnalisée d’étiquette"
"Round Method","Méthode ronde"
Math,Mathématiques
Ceil,Ceil
Floor,Étage
"Round Value","Valeur ronde"
"Labels Gallery","Galerie d’étiquettes"
"Label Image","Image d’étiquette"
"Category Label","Étiquette de catégorie"
"Conditions (don't add conditions if label is applied to all products)","Conditions (n’ajoutez pas de conditions si l’étiquette est appliquée à tous les produits)"
"Indexed Products","Produits indexés"
"Attribute Set","Ensemble d’attributs"
"Product Label","Étiquette de produit"
"Label Gallery","Galerie d’étiquettes"
"We couldn't find any labels","Nous n’avons pas trouvé d’étiquettes"
"Labels have been applied.","Des étiquettes ont été appliquées."
"Label has been applied.","L’étiquette a été appliquée."
"Label was deleted.","L’étiquette a été supprimée."
"Can't find a label to delete.","Impossible de trouver une étiquette à supprimer."
"Label was disabled.","L’étiquette était désactivée."
"Can't find a label to disable.","Impossible de trouver une étiquette pour désactiver."
ProLabels,"ProLabels ProLabels"
"Manage Labels","Gérer les étiquettes"
"This label no longer exists.","Cette étiquette n’existe plus."
"Edit Label","Modifier l’étiquette"
"Label was enabled.","L’étiquette a été activée."
"Can't find a label to enable.","Impossible de trouver une étiquette pour permettre."
"Label has been saved.","L’étiquette a été sauvegardée."
"Something went wrong while saving the label.","Quelque chose s’est mal passé en sauvant l’étiquette."
"up to ","jusqu’à "
Edit,Modifier
"All Store Views","Toutes les vues de magasin"
"Click here or drag and drop to add images.","Cliquez ici ou faites glisser et déposer pour ajouter des images."
Swissup,"Swissup (Swissup)"
"jQuery Selector For Base Image Wrapper","jQuery Selector For Base Image Wrapper (en anglais seulement)"
"jQuery Selector For Content Labels Container","jQuery Selector For Content Labels Container (en)"
"On Sale","En vente"
"SALE labels are the cost-effective way to mark store sales and attract visitors attention. They are shown on discounted and on-sale products. Using On Sale labels you catch customers attention to the promotional items.","Les étiquettes SALE sont le moyen rentable de marquer les ventes des magasins et d’attirer l’attention des visiteurs. Ils sont affichés sur les produits à prix réduit et en vente. En utilisant les étiquettes On Sale, vous attiez l’attention des clients sur les articles promotionnels."
"Product Page","Page produit"
Image,Image
"Custom Label","Étiquette personnalisée"
"Category Page","Page de catégorie"
"Is New","Est nouveau"
"New Labels are used for the presentation of new items at your store.","De nouvelles étiquettes sont utilisées pour la présentation de nouveaux articles dans votre magasin."
"In Stock","En stock"
"In Stock labels are used to show low stock items. Using in stock and out of stock labels, you focus the customers attention on the limited availability of products.","Dans les étiquettes Stock sont utilisés pour afficher des articles à faible stock. En utilisant en stock et hors des étiquettes de stock, vous concentrez l’attention des clients sur la disponibilité limitée des produits."
"Display if Stock is lower then","Afficher si stock est plus bas, puis"
"Out Of Stock","Hors stock"
"Apply Labels","Appliquer les étiquettes"
"Product Image","Image de produit"
"Product Position","Position du produit"
"Product Text","Texte du produit"
"Category Image","Image de catégorie"
"Category Position","Position de catégorie"
"Category Text","Texte de catégorie"
