"Product Labels","제품 라벨"
"Add New Label","새 레이블 추가"
"Save Label","레이블 저장"
"Delete Label","레이블 삭제"
"Edit Label '%1'","레이블 편집 '%1'"
"New Label","새 레이블"
Settings,설정
Position,위치
Top-Left,"왼쪽 위"
Top-Center,"맨 위 중심"
Top-Right,"오른쪽 위"
Middle-Left,"왼쪽 가운데"
Middle-Center,"중간 중심"
Middle-Right,"오른쪽 중간"
Bottom-Left,"왼쪽 아래"
Bottom-Center,"하단 중심"
Bottom-Right,"오른쪽 아래"
Content,콘텐츠
"Label Text","텍스트 레이블 지정"
"Custom Css Label","사용자 지정 Css 레이블"
"Css Style Only. Example: color: #fff; text-shadow: 0 1px 0 rgba(0,0,0,0.3); width: 60px; height: 60px;background:#ff7800; border-radius:50%;","Css 스타일 만. 예: 색상: #fff; 텍스트 그림자: 0 1px 0 rgba (0,0,0,0.3); 너비: 60px; 높이 : 60px;배경 : #ff7800; 테두리 반지름:50%;"
"Label Custom Url","맞춤 URL 레이블 지정"
"Round Method","라운드 방법"
Math,수학
Ceil,Ceil
Floor,바닥
"Round Value","라운드 값"
"Labels Gallery","레이블 갤러리"
"Label Image","레이블 이미지"
"Category Label","범주 레이블"
"Conditions (don't add conditions if label is applied to all products)","조건(라벨이 모든 제품에 적용되는 경우 조건을 추가하지 마십시오)"
"Indexed Products","색인된 제품"
"Attribute Set","특성 집합"
"Product Label","제품 라벨"
"Label Gallery","레이블 갤러리"
"We couldn't find any labels","라벨을 찾을 수 없습니다."
"Labels have been applied.","레이블이 적용되었습니다."
"Label has been applied.","레이블이 적용되었습니다."
"Label was deleted.","레이블이 삭제되었습니다."
"Can't find a label to delete.","삭제할 레이블을 찾을 수 없습니다."
"Label was disabled.","레이블을 사용하지 않도록 설정했습니다."
"Can't find a label to disable.","비활성화할 레이블을 찾을 수 없습니다."
ProLabels,"프로 라벨"
"Manage Labels","레이블 관리"
"This label no longer exists.","이 레이블은 더 이상 존재하지 않습니다."
"Edit Label","레이블 편집"
"Label was enabled.","레이블이 활성화되었습니다."
"Can't find a label to enable.","사용할 레이블을 찾을 수 없습니다."
"Label has been saved.","레이블이 저장되었습니다."
"Something went wrong while saving the label.","라벨을 저장하는 동안 문제가 생겼습니다."
"up to ","최대 "
Edit,편집
"All Store Views","모든 스토어 보기"
"Click here or drag and drop to add images.","여기를 클릭하거나 드래그 앤 드롭하여 이미지를 추가합니다."
Swissup,"스위스 업"
"jQuery Selector For Base Image Wrapper","기본 이미지 래퍼에 대한 j쿼리 선택기"
"jQuery Selector For Content Labels Container","콘텐츠 레이블 컨테이너에 대한 j쿼리 선택기"
"On Sale","판매 중"
"SALE labels are the cost-effective way to mark store sales and attract visitors attention. They are shown on discounted and on-sale products. Using On Sale labels you catch customers attention to the promotional items.","SALE 라벨은 매장 판매를 표시하고 방문자의 관심을 끌 수있는 비용 효율적인 방법입니다. 그들은 할인 및 판매 제품에 표시됩니다. 판매 라벨을 사용하면 프로모션 항목에 대한 고객의 관심을 끌 수 있습니다."
"Product Page","제품 페이지"
Image,이미지
"Custom Label","사용자 지정 레이블"
"Category Page","카테고리 페이지"
"Is New","새로운 것"
"New Labels are used for the presentation of new items at your store.","새 레이블은 스토어에서 새 항목을 표시하는 데 사용됩니다."
"In Stock",재고
"In Stock labels are used to show low stock items. Using in stock and out of stock labels, you focus the customers attention on the limited availability of products.","재고 라벨은 낮은 재고 항목을 표시하는 데 사용됩니다. 재고 및 품절 라벨을 사용하여 제품의 제한된 가용성에 고객의 관심을 집중."
"Display if Stock is lower then","주식이 낮으면 표시"
"Out Of Stock",품절
"Apply Labels","레이블 적용"
"Product Image","제품 이미지"
"Product Position","제품 위치"
"Product Text","제품 텍스트"
"Category Image","카테고리 이미지"
"Category Position","카테고리 위치"
"Category Text","범주 텍스트"
