"Product Labels","Етикетки продуктів"
"Add New Label","Додати нову мітку"
"Save Label","Зберегти мітку"
"Delete Label","Видалити мітку"
"Edit Label '%1'","Змінити мітку ""%1"""
"New Label","Нова мітка"
Top-Left,"Зверху ліворуч"
Top-Center,Топ-центр
Top-Right,"Верхній правий"
Middle-Left,"Посередині ліворуч"
Middle-Center,Центру
Middle-Right,"Посередині справа"
Bottom-Left,"Знизу зліва"
Bottom-Center,"Нижній центр"
Bottom-Right,Знизу-справа
"Label Text","Позначити текст"
"Custom Css Label","Користувацька мітка CSS"
"Css Style Only. Example: color: #fff; text-shadow: 0 1px 0 rgba(0,0,0,0.3); width: 60px; height: 60px;background:#ff7800; border-radius:50%;","Лише стиль CSS. Приклад: колір: #fff; текст-тінь: 0 1 PX 0 RGBA (0, 0, 0, 0.3); Ширина: 60 PX; Висота: 60 PX; тло: #ff7800; межі радіуса: 50%;"
"Label Custom Url","Позначити користувацьку URL-адресу"
"Round Method","Круглий метод"
Math,Математики
Ceil,Ceil
Floor,Підлоги
"Round Value","Округлої вартості"
"Labels Gallery","Галерея етикеток"
"Label Image","Зображення етикетки"
"Category Label","Мітка категорії"
"Conditions (don't add conditions if label is applied to all products)","Умови (не додавайте умови, якщо мітка застосовується до всіх товарів)"
"Indexed Products","Проіндексовані продукти"
"Attribute Set","Набір атрибутів"
"Product Label","Маркування продукції"
"Label Gallery","Галерея міток"
"We couldn't find any labels","Не вдалося знайти етикетки"
"Labels have been applied.","Мітки були застосовані."
"Label has been applied.","Мітку застосовано."
"Label was deleted.","Мітку було видалено."
"Can't find a label to delete.","Не вдалося знайти мітку для видалення."
"Label was disabled.","Мітку вимкнено."
"Can't find a label to disable.","Не вдалося знайти мітку для вимкнення."
ProLabels,Промітки
"Manage Labels","Керування мітками"
"This label no longer exists.","Ця мітка більше не існує."
"Edit Label","Редагувати мітку"
"Label was enabled.","Мітку увімкнено."
"Can't find a label to enable.","Не вдалося знайти мітку для ввімкнення."
"Label has been saved.","Мітку збережено."
"Something went wrong while saving the label.","Під час збереження етикетки щось пішло не так."
"up to ","до "
Edit,Редагувати
"All Store Views","Всі Перегляди магазину"
"Click here or drag and drop to add images.","Натисніть тут або перетягніть, щоб додати зображення."
"jQuery Selector For Base Image Wrapper","jQuery селектор на базову оболонку зображення"
"jQuery Selector For Content Labels Container","jQuery селектор для контейнера вмісту контейнер"
"On Sale","На продаж"
"SALE labels are the cost-effective way to mark store sales and attract visitors attention. They are shown on discounted and on-sale products. Using On Sale labels you catch customers attention to the promotional items.","ПРОДАЖ етикетки є економічно ефективним способом позначити продажів магазину і привернути увагу відвідувачів. Вони показані на продукції зі знижкою та на продаж. Використання на продаж етикетки ви ловите увагу клієнтів на рекламні елементи."
"Product Page","Сторінка продукту"
Image,Зображення
"Custom Label","Настроювана мітка"
"Category Page","Сторінка категорії"
"Is New","Є новим"
"New Labels are used for the presentation of new items at your store.","Нові Мітки використовуються для презентації нових елементів у вашому магазині."
"In Stock","В наявності"
"In Stock labels are used to show low stock items. Using in stock and out of stock labels, you focus the customers attention on the limited availability of products.","На фондових етикетках використовуються для відображення низьких предметів запасу. Використовуючи на складі і на складі етикетки, ви зосередите увагу клієнтів на обмеженій доступності продуктів."
"Display if Stock is lower then","Дисплей, якщо фондовий нижче, то"
"Out Of Stock","Немає в наявності"
"Apply Labels","Застосування етикеток"
"Product Image","Зображення продукту"
"Product Position","Позиція продукту"
"Product Text","Текст товару"
"Category Image","Зображення категорії"
"Category Position","Позиція категорії"
"Category Text","Текст категорії"
