"Manage Reminders","إدارة التذكيرات"
Send,ارسال
"Edit Reminder '%1'","تحرير التذكير '%1'"
"Reminder Information","معلومات التذكير"
"Customer Name","اسم العميل"
"Customer Email","البريد الإلكتروني للعميل"
"Review Status","حالة المراجعة"
"Order Products","طلب المنتجات"
Run,تشغيل
"Reminder was deleted.","تم حذف التذكير."
"Can't find a reminder to delete.","لا يمكن العثور على تذكير لحذفه."
"Review Reminders","مراجعة التذكيرات"
"This reminder no longer exists.","لم يعد هذا التذكير موجودًا."
"Edit Reminder","تحرير التذكير"
"Please select store view(s)","الرجاء تحديد عرض المتجر (عرض)"
"Please enter correct date in YYYY-MM-DD format","الرجاء إدخال التاريخ الصحيح بتنسيق YYYY-MM-DD"
"Please select item(s).","الرجاء تحديد البند (ق)."
"Something went wrong while sending the reminder.","حدث خطأ ما أثناء إرسال التذكير."
"A total of %1 reminders have been sent.","تم إرسال تذكيرات %1 إجماليًا."
"A total of %1 record(s) have been changed.","تم تغيير إجمالي %1 سجل (سجلات)."
"Reminder has been saved.","تم حفظ التذكير."
"Something went wrong while saving the reminder.","حدث خطأ ما أثناء حفظ التذكير."
"Reminder has been sent.","تم إرسال التذكير."
"Unable to find a reminder to send.","تعذر العثور على تذكير لإرسالها."
"Last year","العام الماضي"
"Last month","الشهر الماضي"
"Last week","الأسبوع الماضي"
"From custom date","من التاريخ المخصص"
"Not reviewed","لم يتم مراجعتها"
Reviewed,استعراض
"Customer not found","لم يتم العثور على العميل"
"Write review","كتابة مراجعة"
Hello,مرحبا
"You\'ve recently bought %products_list what do you think about it?","كنت قد اشتريت مؤخرا  %products_list  ما رأيك في ذلك؟"
"An error occured:","حدث خطأ:"
"Completed. {count} items were processed","اكمال. {عدد} تمت معالجة العناصر"
Success,النجاح
"Review Reminder","مراجعة التذكير"
"Number of emails to send per cron iteration","عدد رسائل البريد الإلكتروني التي يجب إرسالها لكل تكرار كرون"
"Default reminder status","حالة التذكير الافتراضي"
"Email Settings","إعدادات البريد الإلكتروني"
"Send email from","إرسال بريد إلكتروني من"
"Email subject","موضوع البريد الإلكتروني"
"Send email after, days","إرسال البريد الإلكتروني بعد، أيام"
"Process orders","أوامر المعالجة"
"Consider orders with status","النظر في الأوامر ذات الحالة"
"Manual orders indexing","فهرسة الأوامر اليدوية"
"Index orders created","أوامر الفهرس التي تم إنشاؤها"
"Custom date","تاريخ مخصص"
"Index orders made in store(s)","أوامر الفهرس ة التي تم إجراؤها في المتجر (المتاجر)"
"Delete items","حذف العناصر"
"Send items","إرسال العناصر"
"Are you sure you want to send selected reminders?","هل أنت متأكد من أنك تريد إرسال تذكيرات محددة؟"
"Are you sure you want to change selected reminders status?","هل أنت متأكد من أنك تريد تغيير حالة التذكيرات المحددة؟"
