"Manage Reminders","Gérer les rappels"
Send,Envoyer
"Edit Reminder '%1'","Modifier Le rappel '%1'"
"Reminder Information","Informations de rappel"
"Customer Name","Nom du client"
"Customer Email","Courriel client"
"Review Status","Examen de l’état"
"Order Products","Produits de commande"
Run,Courir
"Reminder was deleted.","Le rappel a été supprimé."
"Can't find a reminder to delete.","Impossible de trouver un rappel à supprimer."
"Review Reminders","Examen des rappels"
"This reminder no longer exists.","Ce rappel n’existe plus."
"Edit Reminder","Modifier le rappel"
"Please select store view(s)","S’il vous plaît sélectionner la vue de magasin(s)"
"Please enter correct date in YYYY-MM-DD format","S’il vous plaît entrer la date correcte dans le format YYYY-MM-DD"
"Please select item(s).","S’il vous plaît sélectionner l’article(s)."
"Something went wrong while sending the reminder.","Quelque chose s’est mal passé en envoyant le rappel."
"A total of %1 reminders have been sent.","Un total de %1 rappels ont été envoyés."
"A total of %1 record(s) have been changed.","Un total de %1 record ont été modifiés."
"Reminder has been saved.","Le rappel a été enregistré."
"Something went wrong while saving the reminder.","Quelque chose s’est mal passé en sauvant le rappel."
"Reminder has been sent.","Un rappel a été envoyé."
"Unable to find a reminder to send.","Impossible de trouver un rappel à envoyer."
"Last year","L’année dernière"
"Last month","Le mois dernier"
"Last week","La semaine dernière"
"From custom date","A partir de la date personnalisée"
"Not reviewed","Non examiné"
Reviewed,Examiné
"Customer not found","Client non trouvé"
"Write review","Rédiger un avis"
Hello,Bonjour
"You\'ve recently bought %products_list what do you think about it?","Vous avez récemment acheté des %products_list qu’en pensez-vous?"
"An error occured:","Une erreur s’est produite :"
"Completed. {count} items were processed","Terminé. Les articles de « comptage » ont été traités"
Success,Succès
"Review Reminder","Rappel d’examen"
"Number of emails to send per cron iteration","Nombre d’e-mails à envoyer par itération cron"
"Default reminder status","État de rappel par défaut"
"Email Settings","Paramètres de messagerie"
"Send email from","Envoyer des courriels à partir de"
"Email subject","Sujet d’email"
"Send email after, days","Envoyer des e-mails après, jours"
"Process orders","Ordonnances de traitement"
"Consider orders with status","Envisager les commandes avec statut"
"Manual orders indexing","Indexation des commandes manuelles"
"Index orders created","Commandes indiciels créées"
"Custom date","Date personnalisée"
"Index orders made in store(s)","Commandes indiciels effectuées en magasin(s)"
"Delete items","Supprimer les éléments"
"Send items","Envoyer des articles"
"Are you sure you want to send selected reminders?","Etes-vous sûr d’envoyer des rappels sélectionnés?"
"Are you sure you want to change selected reminders status?","Etes-vous sûr de vouloir changer le statut de rappel sélectionné?"
