"Manage Reminders","ניהול תזכורות"
Send,שלוח
"Edit Reminder '%1'","ערוך תזכורת ' %1 '"
"Reminder Information","מידע אודות תזכורת"
"Customer Name","שם הלקוח"
"Customer Email","דוא ל לקוח"
"Review Status","ביקורת מצב"
"Order Products","הזמנות מוצרים"
Run,הפעיל
"Reminder was deleted.","התזכורת נמחקה."
"Can't find a reminder to delete.","אין אפשרות למצוא תזכורת למחיקה."
"Review Reminders","סקירת תזכורות"
"This reminder no longer exists.","תזכורת זו אינה קיימת עוד."
"Edit Reminder","ערוך תזכורת"
"Please select store view(s)","נא בחר תצוגות מאגר"
"Please enter correct date in YYYY-MM-DD format","נא הזן תאריך נכון בתבנית YYYY-MM-DD"
"Please select item(s).","נא בחר פריטים."
"Something went wrong while sending the reminder.","משהו השתבש בזמן ששלח את התזכורת."
"A total of %1 reminders have been sent.","כוללת של %1 תזכורות שנשלחו."
"A total of %1 record(s) have been changed.","סך של %1 רשומה (ות) שונתה."
"Reminder has been saved.","התזכורת נשמרה."
"Something went wrong while saving the reminder.","משהו השתבש בזמן שהציל את התזכורת."
"Reminder has been sent.","התזכורת נשלחה."
"Unable to find a reminder to send.","אין אפשרות למצוא תזכורת לשליחה."
"Last year","בשנה שעברה"
"Last month","בחודש שעבר"
"Last week","בשבוע שעבר"
"From custom date","מתאריך מותאם אישית"
"Not reviewed","לא נבדקו"
Reviewed,נסקרו
"Customer not found","לקוח לא נמצא"
"Write review","סקירת כתיבה"
Hello,שלום
"You\'ve recently bought %products_list what do you think about it?","קנית לאחרונה %products_list מה אתה חושב על זה?"
"An error occured:","אירעה שגיאה:"
"Completed. {count} items were processed","ושלמה. {ספירת} פריטים עובדו"
Success,הצלחה
"Review Reminder","סקירת תזכורת"
"Number of emails to send per cron iteration","מספר הודעות דוא ל כדי לשלוח באיטראציות על כל cron"
"Default reminder status","מצב תזכורת המהווה ברירת מחדל"
"Email Settings","הגדרות דוא ל"
"Send email from","שלח דוא ל מ"
"Email subject","נושא דואר אלקטרוני"
"Send email after, days","שלח דואר אלקטרוני לאחר מכן, ימים"
"Process orders","הזמנות תהליך"
"Consider orders with status","שקול הזמנות במצב"
"Manual orders indexing","הזמנות ידניות ליצירת אינדקס"
"Index orders created","הזמנות אינדקס שנוצרו"
"Custom date","תאריך מותאם אישית"
"Index orders made in store(s)","הזמנות אינדקס שבוצעו במאגר"
"Delete items","מחיקת פריטים"
"Send items","שלח פריטים"
"Are you sure you want to send selected reminders?","האם אתה בטוח שברצונך לשלוח תזכורות נבחרות?"
"Are you sure you want to change selected reminders status?","האם אתה בטוח שברצונך לשנות את מצב התזכורות הנבחרות?"
