"Manage Reminders","Gestisci promemoria"
Send,Invia
"Edit Reminder '%1'","Modifica promemoria '%1'"
"Reminder Information","Informazioni promemoria"
"Customer Name","Nome cliente"
"Customer Email","E-mail del cliente"
"Review Status","Stato revisione"
"Order Products","Ordinare prodotti"
Run,Correre
"Reminder was deleted.","Il promemoria è stato eliminato."
"Can't find a reminder to delete.","Impossibile trovare un promemoria da eliminare."
"Review Reminders","Revisione promemoria"
"This reminder no longer exists.","Questo promemoria non esiste più."
"Edit Reminder","Modifica promemoria"
"Please select store view(s)","Si prega di selezionare la visualizzazione del negozio"
"Please enter correct date in YYYY-MM-DD format","Inserisci la data corretta nel formato AAAA-MM-GG"
"Please select item(s).","Selezionare gli elementi."
"Something went wrong while sending the reminder.","Si è verificato un problema durante l'invio del promemoria."
"A total of %1 reminders have been sent.","Sono stati inviati un totale di %1 solleciti."
"A total of %1 record(s) have been changed.","Un totale di %1 record sono stati modificati."
"Reminder has been saved.","Il promemoria è stato salvato."
"Something went wrong while saving the reminder.","Si è verificato un problema durante il salvataggio del promemoria."
"Reminder has been sent.","Il promemoria è stato inviato."
"Unable to find a reminder to send.","Impossibile trovare un promemoria da inviare."
"Last year","L'anno scorso"
"Last month","Mese scorso"
"Last week","La settimana scorsa"
"From custom date","Dalla data personalizzata"
"Not reviewed","Non recensito"
Reviewed,Recensione
"Customer not found","Cliente non trovato"
"Write review","Scrivi recensione"
Hello,Ciao
"You\'ve recently bought %products_list what do you think about it?","Di recente hai acquistato %products_list cosa ne pensi?"
"An error occured:","Si è verificato un errore:"
"Completed. {count} items were processed","Completato. Gli elementi di conteggio sono stati elaborati"
Success,Successo
"Review Reminder","Promemoria di revisione"
"Number of emails to send per cron iteration","Numero di messaggi di posta elettronica da inviare per iterazione cron"
"Default reminder status","Stato predefinito del promemoria"
"Email Settings","Impostazioni e-mail"
"Send email from","Inviare messaggi di posta elettronica da"
"Email subject","Oggetto dell'e-mail"
"Send email after, days","Invia e-mail dopo, giorni"
"Process orders","Elaborare gli ordini"
"Consider orders with status","Considerare gli ordini con stato"
"Manual orders indexing","Indicizzazione manuale degli ordini"
"Index orders created","Ordini di indice creati"
"Custom date","Data personalizzata"
"Index orders made in store(s)","Ordini di indice effettuati in punti vendita"
"Delete items","Eliminare elementi"
"Send items","Inviare elementi"
"Are you sure you want to send selected reminders?","Sei sicuro di voler inviare promemoria selezionati?"
"Are you sure you want to change selected reminders status?","Sei sicuro di voler modificare lo stato dei promemoria selezionati?"
