"Manage Reminders","미리 알림 관리"
Send,보내기
"Edit Reminder '%1'","알림 편집 '%1'"
"Reminder Information","미리 알림 정보"
"Customer Name","고객 이름"
"Customer Email","고객 이메일"
"Review Status","검토 상태"
"Order Products","제품 주문"
Run,실행
"Reminder was deleted.","미리 알림이 삭제되었습니다."
"Can't find a reminder to delete.","삭제할 미리 알림을 찾을 수 없습니다."
"Review Reminders","미리 알림 검토"
"This reminder no longer exists.","이 미리 알림은 더 이상 존재하지 않습니다."
"Edit Reminder","미리 알림 편집"
"Please select store view(s)","점포 뷰를 선택 해 주세요"
"Please enter correct date in YYYY-MM-DD format","YYYY-MM-DD 형식으로 올바른 날짜를 입력하십시오."
"Please select item(s).","항목을 선택 하십시오."
"Something went wrong while sending the reminder.","미리 알림을 보내는 동안 문제가 생겼습니다."
"A total of %1 reminders have been sent.","총 %1 미리 알림이 전송되었습니다."
"A total of %1 record(s) have been changed.","총 %1 레코드가 변경되었습니다."
"Reminder has been saved.","미리 알림이 저장되었습니다."
"Something went wrong while saving the reminder.","미리 알림을 저장하는 동안 문제가 되었습니다."
"Reminder has been sent.","미리 알림이 전송되었습니다."
"Unable to find a reminder to send.","보낼 미리 알림을 찾을 수 없습니다."
"Last year",작년
"Last month","지난 달"
"Last week",지난주
"From custom date","사용자 지정 날짜로부터"
"Not reviewed","검토되지 않음"
Reviewed,검토
"Customer not found","고객을 찾을 수 없습니다."
"Write review","쓰기 리뷰"
Hello,안녕하세요
"You\'ve recently bought %products_list what do you think about it?","최근에 %products_list 구입했습니다."
"An error occured:","다음과 같은 오류가 발생했습니다."
"Completed. {count} items were processed","완료. {count} 항목이 처리되었습니다."
Success,성공
"Review Reminder","미리 알림 검토"
"Number of emails to send per cron iteration","cron 반복당 보낼 이메일 수"
"Default reminder status","기본 알림 상태"
"Email Settings","이메일 설정"
"Send email from","에서 전자 메일 보내기"
"Email subject","이메일 제목"
"Send email after, days","이메일 보내기 후, 며칠"
"Process orders","주문 처리"
"Consider orders with status","상태와 주문 고려"
"Manual orders indexing","수동 주문 인덱싱"
"Index orders created","생성된 인덱스 주문"
"Custom date","사용자 지정 날짜"
"Index orders made in store(s)","매장에서 만든 인덱스 주문"
"Delete items","항목 삭제"
"Send items","항목 보내기"
"Are you sure you want to send selected reminders?","선택한 미리 알림을 보내시겠습니까?"
"Are you sure you want to change selected reminders status?","선택한 미리 알림 상태를 변경하시겠습니까?"
