"Manage Reminders","Behandle påminnelser"
Send,Sende
"Edit Reminder '%1'","Rediger påminnelse %1"
"Reminder Information","Påminnelse ser ut til å være"
"Customer Name",Kundenavn
"Customer Email","E-post fra kunder"
"Review Status","Se gjennom status"
"Order Products","Bestill produkter"
Run,Kjøre
"Reminder was deleted.","Påminnelsen ble slettet."
"Can't find a reminder to delete.","Finner ikke en påminnelse å slette."
"Review Reminders","Se gjennom påminnelser"
"This reminder no longer exists.","Denne påminnelsen finnes ikke lenger."
"Edit Reminder","Rediger påminnelse"
"Please select store view(s)","Velg butikkvisning(er)"
"Please enter correct date in YYYY-MM-DD format","Vennligst skriv inn riktig dato i ÅÅÅÅ-MM-DD-format"
"Please select item(s).","Velg element(er)."
"Something went wrong while sending the reminder.","Noe gikk galt mens du sendte påminnelsen."
"A total of %1 reminders have been sent.","Totalt %1 påminnelser er sendt."
"A total of %1 record(s) have been changed.","Totalt %1 post(er) er endret."
"Reminder has been saved.","Påminnelsen er lagret."
"Something went wrong while saving the reminder.","Noe gikk galt mens du lagret påminnelsen."
"Reminder has been sent.","Påminnelse nav."
"Unable to find a reminder to send.","Finner ikke en påminnelse som skal sendes."
"Last year",Fjor
"Last month","Siste måned"
"Last week","forrige uke"
"From custom date","Fra egendefinert dato"
"Not reviewed","Ikke anmeldt"
Reviewed,Gjennomgått
"Customer not found","Kunden ikke funnet"
"Write review","Skriv anmeldelse"
Hello,hallo
"You\'ve recently bought %products_list what do you think about it?","Du har nylig kjøpt %products_list hva synes du om det?"
"An error occured:","Det oppstod en feil:"
"Completed. {count} items were processed","Fullført. {count} elementer ble behandlet"
Success,Suksess
"Review Reminder","Se gjennom påminnelse"
"Number of emails to send per cron iteration","Antall e-poster å sende per cron iterasjon"
"Default reminder status","Standard påminnelsesstatus"
"Email Settings","Innstillinger for e-post"
"Send email from","Send e-post fra"
"Email subject","Emne via e-post"
"Send email after, days","Send e-post etter, dager"
"Process orders","Behandle ordrer"
"Consider orders with status","Vurder bestillinger med status"
"Manual orders indexing","Indeksering av manuelle ordrer"
"Index orders created","Indeksordrer opprettet"
"Custom date","Egendefinert dato"
"Index orders made in store(s)","Indeksordrer gjort i butikk(er)"
"Delete items","Slette elementer"
"Send items","Sende varer"
"Are you sure you want to send selected reminders?","Er du sikker på at du vil sende valgte påminnelser?"
"Are you sure you want to change selected reminders status?","Er du sikker på at du vil endre valgt påminnelsesstatus?"
