"Manage Reminders","Zarządzanie przypomnieniami"
Send,Wyślij
"Edit Reminder '%1'","Przypomnienie edycji ""%1"""
"Reminder Information","Informacje o przypomnieniach"
"Customer Name","Nazwa klienta"
"Customer Email","Adres e-mail klienta"
"Review Status","Stan recenzji"
"Order Products","Zamów produkty"
Run,Uruchomić
"Reminder was deleted.","Przypomnienie zostało usunięte."
"Can't find a reminder to delete.","Nie można znaleźć przypomnienia o usunięciu."
"Review Reminders","Przeglądanie przypomnień"
"This reminder no longer exists.","To przypomnienie już nie istnieje."
"Edit Reminder","Edytuj przypomnienie"
"Please select store view(s)","Wybierz widok(y) sklepu"
"Please enter correct date in YYYY-MM-DD format","Wprowadź poprawną datę w formacie YYYY-MM-DD"
"Please select item(s).","Wybierz przedmiot(-y)."
"Something went wrong while sending the reminder.","Coś poszło nie tak podczas wysyłania przypomnienia."
"A total of %1 reminders have been sent.","Wysłano łącznie %1 przypomnień."
"A total of %1 record(s) have been changed.","Łącznie zmieniono rekordy %1."
"Reminder has been saved.","Przypomnienie zostało zapisane."
"Something went wrong while saving the reminder.","Coś poszło nie tak podczas zapisywania przypomnienia."
"Reminder has been sent.","Przypomnienie zostało wysłane."
"Unable to find a reminder to send.","Nie można znaleźć przypomnienia do wysłania."
"Last year","W ubiegłym roku"
"Last month","Ostatni miesiąc"
"Last week","W zeszłym tygodniu"
"From custom date","Od daty niestandardowej"
"Not reviewed","Nie oceniono"
Reviewed,"Napisał(a) recenzję"
"Customer not found","Nie znaleziono klienta"
"Write review","Napisz recenzję"
Hello,Cześć
"You\'ve recently bought %products_list what do you think about it?","Niedawno kupiłeś %products_list co o tym sądzisz?"
"An error occured:",Błąd:
"Completed. {count} items were processed","Zakończone. {count} elementy zostały przetworzone"
Success,Sukces
"Review Reminder","Przypomnienie o recenzji"
"Number of emails to send per cron iteration","Liczba e-maili do wysłania na cron iteracji"
"Default reminder status","Domyślny stan przypomnienia"
"Email Settings","Ustawienia poczty e-mail"
"Send email from","Wyślij wiadomość e-mail z"
"Email subject","Temat wiadomości e-mail"
"Send email after, days","Wyślij wiadomość e-mail po, dniach"
"Process orders","Przetwarzanie zamówień"
"Consider orders with status","Uwzględnianie zamówień o stanie"
"Manual orders indexing","Indeksowanie zamówień ręcznych"
"Index orders created","Utworzono zamówienia indeksowe"
"Custom date","Data niestandardowa"
"Index orders made in store(s)","Zamówienia indeksowe złożone w sklepach"
"Delete items","Usuwanie elementów"
"Send items","Wyślij elementy"
"Are you sure you want to send selected reminders?","Czy na pewno chcesz wysłać wybrane przypomnienia?"
"Are you sure you want to change selected reminders status?","Czy na pewno chcesz zmienić stan wybranych przypomnień?"
