"Manage Reminders","Керування нагадуваннями"
Send,Відправити
"Edit Reminder '%1'","Змінити нагадування ""%1"""
"Reminder Information","Інформація про нагадування"
"Customer Name","Ім'я клієнта"
"Customer Email","Електронної пошти клієнта"
"Review Status","Стан перевірки"
"Order Products","Замовити продукцію"
Run,Запустити
"Reminder was deleted.","Нагадування було видалено."
"Can't find a reminder to delete.","Не вдається знайти нагадування для видалення."
"Review Reminders","Огляд нагадувань"
"This reminder no longer exists.","Це нагадування більше не існує."
"Edit Reminder","Нагадування про редагування"
"Please select store view(s)","Будь ласка, виберіть Зберегти перегляд (и)"
"Please enter correct date in YYYY-MM-DD format","Будь ласка, введіть правильну дату у форматі РРРР-ММ-ДД"
"Please select item(s).","Будь ласка, виберіть пункт (и)."
"Something went wrong while sending the reminder.","Щось пішло не так під час відправки нагадування."
"A total of %1 reminders have been sent.","Загалом було надіслано нагадування про %1."
"A total of %1 record(s) have been changed.","Загалом було змінено %1 записів."
"Reminder has been saved.","Нагадування збережено."
"Something went wrong while saving the reminder.","Щось пішло не так, зберігаючи нагадування."
"Reminder has been sent.","Нагадування надіслано."
"Unable to find a reminder to send.","Не вдалося знайти нагадування для надсилання."
"Last year","Минулому році"
"Last month","Минулого місяця"
"Last week","Минулий тиждень"
"From custom date","З користувачого дати"
"Not reviewed","Не рецензуються"
Reviewed,Розглянули
"Customer not found","Клієнт не знайдений"
"Write review","Написати відгук"
Hello,Вітаю
"You\'ve recently bought %products_list what do you think about it?","Ви \ нещодавно купили %products_list що ви думаєте про це?"
"An error occured:","Сталася помилка:"
"Completed. {count} items were processed","Завершено. {кількість} елементів оброблено"
Success,Успіху
"Review Reminder","Огляд нагадування"
"Number of emails to send per cron iteration","Кількість листів для відправки на ітерації cron"
"Default reminder status","Стан нагадування за промовчанням"
"Email Settings","Налаштування електронної пошти"
"Send email from","Надіслати лист від"
"Email subject","Тема повідомлення електронної пошти"
"Send email after, days","Надіслати електронний лист після, днів"
"Process orders","Обробка замовлень"
"Consider orders with status","Розглянемо замовлення з статусом"
"Manual orders indexing","Індексування замовлень вручну"
"Index orders created","Створені індексні замовлення"
"Custom date","Настроювана дата"
"Index orders made in store(s)","Індексні замовлення, зроблені в магазині (ах)"
"Delete items","Видалення елементів"
"Send items","Надсилання елементів"
"Are you sure you want to send selected reminders?","Ви дійсно бажаєте надіслати вибрані нагадування?"
"Are you sure you want to change selected reminders status?","Ви дійсно бажаєте змінити статус вибраного нагадування?"
