SeoCrossLinks,SeoCrossLinks
"New Link","Neuer Link"
"Seo Cross links","SEO Querverbindungen"
"This link no longer exists.","Dieser Link existiert nicht mehr."
"You saved link.","Sie haben den Link gespeichert."
"Something went wrong while saving the link.","Beim Speichern des Links ist ein Fehler aufgetreten."
"Category Description","Kategorie beschreibung"
"Product Description",Produktbeschreibung
"CMS Page Content","Inhalt der CMS-Seite"
"Custom Page","Benutzerdefinierte Seite"
"Category Page",Kategorieseite
"Product Page",Produktseite
"Animation underline","Animation unterstreichen"
"Highlight background","Hintergrund markieren"
"Animation color and underline","Animationsfarbe und Unterstreichung"
"Custom URL","eigene URL"
"Keyword to Search","Stichwort zur Suche"
"Link Title",Link-Titel
"Search In","Suchen in"
Style,Stil
"Replacement Count",Ersatzanzahl
"Add New Link","Neuen Link hinzufügen"
"Are you sure you want to delete selected menu's?","Möchten Sie wirklich ausgewählte Menüs löschen?"
"Search in","Suchen in"
"Link Target",Linkziel
