SeoCrossLinks,SeoCrossLinks
"New Link","New Link"
"Seo Cross links","Seo Cross links"
"This link no longer exists.","This link no longer exists."
"You saved link.","You saved link."
"Something went wrong while saving the link.","Something went wrong while saving the link."
"Category Description","Category Description"
"Product Description","Product Description"
"CMS Page Content","CMS Page Content"
"Custom Page","Custom Page"
"Category Page","Category Page"
"Product Page","Product Page"
"Underline animation","Underline animation"
"Highlight","Highlight"
"Color & Underline animation","Color & Underline animation"
"Custom URL","Custom URL"
"Keyword to Search","Keyword to Search"
"Link Title","Link Title"
"Search In","Search In"
"URL Path","URL Path"
Style,Style
"Replacement Count","Replacement Count"
"Add New Link","Add New Link"
"Are you sure you want to delete selected menu's?","Are you sure you want to delete selected menu's?"
"Search in","Search in"
"Link Target","Link Target"
"Open Link in","Open Link in"
"Search in Extra Product Attributes","Search in Extra Product Attributes"
"Type a product Attribute","Type a product Attribute"
"Attribute can be visible only with enabled attribute option - VISIBLE ON CATALOG PAGE ON STOREFRONT","Attribute can be visible only with enabled attribute option - VISIBLE ON CATALOG PAGE ON STOREFRONT"
"Number of KEYWORDS would you like to replace. Empty field will replace 100 keywords","Number of KEYWORDS would you like to replace. Empty field will replace 100 keywords"
"Same Window","Same Window"
"New Window","New Window"
"Examples: - "/" - redirect to Home Page, "men/tops-men/jackets-men.html"- redirect to Product Page","Examples: - "/" - redirect to Home Page, "men/tops-men/jackets-men.html"- redirect to Product Page"
"Do not use symbols "ampersand" and "slash" in a keyword. The keyword will be ignored.","Do not use symbols "ampersand" and "slash" in a keyword. The keyword will be ignored."
"Tooltip","Tooltip"
"Yes","Yes"
"No","No"
"Show link Title as tooltip.","Show link Title as tooltip."
