SeoCrossLinks,SeoCrossLinks
"New Link","Nuevo enlace"
"Seo Cross links","Seo Cross links"
"This link no longer exists.","Este enlace ya no existe."
"You saved link.","Has guardado el enlace."
"Something went wrong while saving the link.","Algo salió mal al guardar el enlace."
"Category Description","Descripción de categoría"
"Product Description","Descripción del producto"
"CMS Page Content","Contenido de la página de CMS"
"Custom Page","Pagina personalizada"
"Category Page","Página de categoría"
"Product Page","Página del producto"
"Animation underline","Subrayado de animación"
"Highlight background","Resaltar fondo"
"Animation color and underline","Color de animación y subrayado"
"Custom URL","URL personalizada"
"Keyword to Search","Palabra clave para buscar"
"Link Title","Título del enlace"
"Search In","Busca en"
Style,Estilo
"Replacement Count","Recuento de reemplazo"
"Add New Link","Agregar nuevo enlace"
"Are you sure you want to delete selected menu's?","¿Estás seguro de que deseas eliminar los menús seleccionados?"
"Search in","Busca en"
"Link Target","Objetivo de enlace"
