SeoCrossLinks,SeoCrossLinks
"New Link","Nuovo collegamento"
"Seo Cross links","Collegamenti Seo Cross"
"This link no longer exists.","Questo link non esiste più."
"You saved link.","Hai salvato il link."
"Something went wrong while saving the link.","Si è verificato un errore durante il salvataggio del collegamento."
"Category Description","Descrizione della categoria"
"Product Description","Descrizione del prodotto"
"CMS Page Content","Contenuto della pagina CMS"
"Custom Page","Pagina personalizzata"
"Category Page","Pagina categoria"
"Product Page","Pagina del prodotto"
"Animation underline","Animazione sottolineata"
"Highlight background","Evidenzia lo sfondo"
"Animation color and underline","Animazione a colori e sottolineato"
"Custom URL","URL personalizzato"
"Keyword to Search","Parola chiave da cercare"
"Link Title","Titolo del link"
"Search In","Cerca nel"
Style,Stile
"Replacement Count","Conteggio di sostituzione"
"Add New Link","Aggiungi nuovo collegamento"
"Are you sure you want to delete selected menu's?","Sei sicuro di voler eliminare i menu selezionati?"
"Search in","Cerca nel"
"Link Target","Link Target"
