SeoCrossLinks,SeoCrossLinks
"New Link",新しいリンク
"Seo Cross links","Seo Crossリンク"
"This link no longer exists.",このリンクは存在しません。
"You saved link.",リンクを保存しました。
"Something went wrong while saving the link.",リンクの保存中に問題が発生しました。
"Category Description",カテゴリー説明
"Product Description",製品説明
"CMS Page Content",CMSページのコンテンツ
"Custom Page",カスタムページ
"Category Page",カテゴリーページ
"Product Page",製品ページ
"Animation underline",アニメーションの下線
"Highlight background",背景を強調表示
"Animation color and underline",アニメーションの色と下線
"Custom URL",カスタムURL
"Keyword to Search",検索するキーワード
"Link Title",リンクのタイトル
"Search In",で検索
Style,スタイル
"Replacement Count",交換数
"Add New Link",新しいリンクを追加
"Are you sure you want to delete selected menu's?",選択したメニューを削除してもよろしいですか？
"Search in",で検索
"Link Target",リンクターゲット
