SeoCrossLinks,SeoCrossLinks
"New Link","새로운 링크"
"Seo Cross links","서 크로스 링크"
"This link no longer exists.","이 링크는 더 이상 존재하지 않습니다."
"You saved link.","링크를 저장했습니다."
"Something went wrong while saving the link.","링크를 저장하는 중에 문제가 발생했습니다."
"Category Description","카테고리 설명"
"Product Description","제품 설명"
"CMS Page Content","CMS 페이지 내용"
"Custom Page","맞춤 페이지"
"Category Page","카테고리 페이지"
"Product Page","제품 페이지"
"Animation underline","애니메이션 밑줄"
"Highlight background","배경 강조"
"Animation color and underline","애니메이션 색상 및 밑줄"
"Custom URL","사용자 정의 URL"
"Keyword to Search","검색 할 키워드"
"Link Title","링크 제목"
"Search In",검색
Style,스타일
"Replacement Count","교체 횟수"
"Add New Link","새 링크 추가"
"Are you sure you want to delete selected menu's?","선택한 메뉴를 삭제 하시겠습니까?"
"Search in","에서 검색"
"Link Target","링크 대상"
