SeoCrossLinks,SeoCrossLinks
"New Link","Ny lenke"
"Seo Cross links","Seo Cross lenker"
"This link no longer exists.","Denne koblingen eksisterer ikke lenger."
"You saved link.","Du lagret lenken."
"Something went wrong while saving the link.","Noe gikk galt mens du lagret linken."
"Category Description",Kategoribeskrivelse
"Product Description",produktbeskrivelse
"CMS Page Content","CMS sideinnhold"
"Custom Page","Tilpasset side"
"Category Page",Kategoriside
"Product Page",Produktside
"Animation underline","Understrekning av animasjon"
"Highlight background","Uthev bakgrunn"
"Animation color and underline","Animasjonsfarge og understrek"
"Custom URL","Egendefinert nettadresse"
"Keyword to Search","Nøkkelord for å søke"
"Link Title","Link Tittel"
"Search In","Søk inn"
Style,Stil
"Replacement Count",Erstatningsantall
"Add New Link","Legg til ny lenke"
"Are you sure you want to delete selected menu's?","Er du sikker på at du vil slette valgte menyer?"
"Search in","Søk inn"
"Link Target",Koblingsmål
