SeoCrossLinks,SeoCrossLinks
"New Link","Nieuwe link"
"Seo Cross links","Seo Cross links"
"This link no longer exists.","Deze link bestaat niet meer."
"You saved link.","Je hebt een link opgeslagen."
"Something went wrong while saving the link.","Er is iets misgegaan bij het opslaan van de link."
"Category Description","categorie beschrijving"
"Product Description","product beschrijving"
"CMS Page Content",CMS-pagina-inhoud
"Custom Page","Aangepaste pagina"
"Category Page",Categoriepagina
"Product Page",Productpagina
"Animation underline","Animatie onderstreept"
"Highlight background","Markeer achtergrond"
"Animation color and underline","Animatiekleur en onderstrepen"
"Custom URL","Eigen URL"
"Keyword to Search","Zoekwoord om te zoeken"
"Link Title",Linktitel
"Search In","Zoek in"
Style,Stijl
"Replacement Count","Aantal vervangingen"
"Add New Link","Nieuwe link toevoegen"
"Are you sure you want to delete selected menu's?","Weet je zeker dat je geselecteerde menu's wilt verwijderen?"
"Search in","Zoek in"
"Link Target",Linkdoel
