SeoCrossLinks,SeoCrossLinks
"New Link","Nowy link"
"Seo Cross links","Seo Cross links"
"This link no longer exists.","Ten link już nie istnieje."
"You saved link.","Zapisałeś link."
"Something went wrong while saving the link.","Coś poszło nie tak podczas zapisywania linku."
"Category Description","Opis kategorii"
"Product Description","Opis produktu"
"CMS Page Content","Zawartość strony CMS"
"Custom Page","Strona niestandardowa"
"Category Page","Strona kategorii"
"Product Page","Strona produktu"
"Animation underline","Podkreślenie animacji"
"Highlight background","Podświetl tło"
"Animation color and underline","Kolor animacji i podkreślenie"
"Custom URL","Niestandardowy adres URL"
"Keyword to Search","Słowo kluczowe do wyszukiwania"
"Link Title","Tytuł linku"
"Search In","Szukać w"
Style,Styl
"Replacement Count","Liczba zamienników"
"Add New Link","Dodaj nowy link"
"Are you sure you want to delete selected menu's?","Czy na pewno chcesz usunąć wybrane menu?"
"Search in","Szukać w"
"Link Target","Link docelowy"
