SeoCrossLinks,SeoCrossLinks
"New Link","Novo link"
"Seo Cross links","Seo Cross links"
"This link no longer exists.","Este link não existe mais."
"You saved link.","Você salvou o link."
"Something went wrong while saving the link.","Ocorreu um erro ao salvar o link."
"Category Description","Categoria Descrição"
"Product Description","Descrição do Produto"
"CMS Page Content","Conteúdo da página do CMS"
"Custom Page","Página personalizada"
"Category Page","Página da categoria"
"Product Page","Página do produto"
"Animation underline","Sublinhação da animação"
"Highlight background","Destaque fundo"
"Animation color and underline","Cor e sublinhado da animação"
"Custom URL","URL personalizado"
"Keyword to Search","Palavra-chave a pesquisar"
"Link Title","Título do link"
"Search In","Procure em"
Style,Estilo
"Replacement Count","Contagem de substituição"
"Add New Link","Adicionar novo link"
"Are you sure you want to delete selected menu's?","Tem certeza de que deseja excluir os menus selecionados?"
"Search in","Procure em"
"Link Target","Link alvo"
