SeoCrossLinks,SeoCrossLinks
"New Link","Новая ссылка"
"Seo Cross links","Сео Кросс ссылки"
"This link no longer exists.","Эта ссылка больше не существует."
"You saved link.","Вы сохранили ссылку."
"Something went wrong while saving the link.","Что-то пошло не так при сохранении ссылки."
"Category Description","Описание категории"
"Product Description","описание продукта"
"CMS Page Content","Содержание страницы CMS"
"Custom Page","Пользовательская страница"
"Category Page","Страница категории"
"Product Page","Страница продукта"
"Animation underline","Подчеркивание анимации"
"Highlight background","Выделить фон"
"Animation color and underline","Цвет анимации и подчеркивание"
"Custom URL","Пользовательский URL"
"Keyword to Search","Ключевое слово для поиска"
"Link Title","Название ссылки"
"Search In","Поиск в"
Style,Стиль
"Replacement Count","Счетчик замен"
"Add New Link","Добавить новую ссылку"
"Are you sure you want to delete selected menu's?","Вы уверены, что хотите удалить выбранные меню?"
"Search in","Искать в"
"Link Target","Цель ссылки"
