SeoCrossLinks,SeoCrossLinks
"New Link","Ny länk"
"Seo Cross links","Seo Cross-länkar"
"This link no longer exists.","Den här länken finns inte längre."
"You saved link.","Du sparade länken."
"Something went wrong while saving the link.","Något gick fel när du sparat länken."
"Category Description",Kategoribeskrivning
"Product Description",Produktbeskrivning
"CMS Page Content",CMS-sidinnehåll
"Custom Page","Anpassad sida"
"Category Page",Kategorisida
"Product Page","Produkt sida"
"Animation underline","Animation underline"
"Highlight background","Markera bakgrund"
"Animation color and underline","Animeringsfärg och understrykning"
"Custom URL","Anpassad URL"
"Keyword to Search","Nyckelord för att söka"
"Link Title",Länktitel
"Search In","Sök i"
Style,Stil
"Replacement Count",Ersättningsantal
"Add New Link","Lägg till ny länk"
"Are you sure you want to delete selected menu's?","Är du säker på att du vill ta bort valda menyer?"
"Search in","Sök i"
"Link Target",Länkmål
