SeoCrossLinks,SeoCrossLinks
"New Link",新连结
"Seo Cross links","Seo Cross链接"
"This link no longer exists.",该链接不再存在。
"You saved link.",您保存了链接。
"Something went wrong while saving the link.",保存链接时出了点问题。
"Category Description",分类说明
"Product Description",产品描述
"CMS Page Content",CMS页面内容
"Custom Page",自定义页面
"Category Page",分类页面
"Product Page",产品页面
"Animation underline",动画强调
"Highlight background",高亮背景
"Animation color and underline",动画颜色和下划线
"Custom URL",自定义网址
"Keyword to Search",搜寻关键字
"Link Title",链接标题
"Search In",搜索范围
Style,样式
"Replacement Count",更换计数
"Add New Link",添加新链接
"Are you sure you want to delete selected menu's?",您确定要删除所选菜单吗？
"Search in",搜寻
"Link Target",连结目标
