"Save Link","Link speichern"
"The link has been deleted.","Der Link wurde gelöscht."
"Unable to find a link to delete.","Es konnte kein zu löschender Link gefunden werden."
"Edit Link","Link bearbeiten"
"New Link","Neuer Link"
"Manage Links","Verwalten von Links"
"HTML Sitemap",HTML-Sitemap
"Link has been saved.","Der Link wurde gespeichert."
"Something went wrong while saving the link.","Beim Speichern des Links ist etwas schief gelaufen."
"2 Columns","2 Spalten"
"4 Columns","4 Spalten"
"Link was not registered","Link wurde nicht registriert"
"Sitemap Page Title",Sitemap-Seitentitel
"Sitemap Meta Description","Sitemap Meta Beschreibung"
"Sitemap Meta Keywords",Sitemap-Meta-Schlüsselwörter
"Sitemap Content Settings",Sitemap-Inhaltseinstellungen
"Show Stores on Sitemap","Stores auf Sitemap anzeigen"
"Show Categories on Sitemap","Kategorien auf Sitemap anzeigen"
"Max Categories Depth","Max. Kategorien Tiefe"
"Use 0 for all levels","Verwenden Sie 0 für alle Ebenen"
"Show Products on Sitemap","Produkte auf Sitemap anzeigen"
"Show Out of Stock Products","Ausverkaufte Produkte anzeigen"
"Sort Products and Categories By","Sortieren von Produkten und Kategorien nach"
"Number of Columns","Anzahl der Spalten"
"Group Links by First Letter","Gruppenlinks nach Erstem Brief"
"Show CMS Pages on Sitemap","CMS-Seiten auf Sitemap anzeigen"
"Exclude CMS Pages","CMS-Seiten ausschließen"
"Show Custom Links on Sitemap","Benutzerdefinierte Links auf Sitemap anzeigen"
"To add custom links go Swissup > HTML Sitemap Links ","Um benutzerdefinierte Links hinzuzufügen, gehen Sie Swissup > HTML Sitemap Links "
"Are you sure you want to enable selected items?","Möchten Sie ausgewählte Elemente wirklich aktivieren?"
"Are you sure you want to disable selected items?","Möchten Sie ausgewählte Elemente wirklich deaktivieren?"
"Link Information",Linkinformationen
"CMS Pages",CMS-Seiten
"Other Pages","Andere Seiten"
